time_s,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998
1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28.00000000000006,28.000000001263118,28.000001419567589,28.000129693977534,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5197544895849626
2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28.000000000001222,28.000000001281407,28.000000309402267,28.000019159459978,28.000365936109237,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999995788,2.5073883574716667
5,28,28,28,28,28,28,28,28,28,28,28,28,28,28.000000000000167,28.000000000024244,28.000000001911179,28.000000083131582,28.000002040117508,28.000029204084207,28.000255031452493,28.001439736953824,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499994971093329,2.4830508475018735
10,28,28,28,28,28,28,28,28,28,28.000000000000018,28.000000000000369,28.000000000013337,28.000000000357879,28.000000007110302,28.000000105093349,28.00000116425824,28.000009765910395,28.000062823755343,28.000314866978119,28.001253060798447,28.004051120969422,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999422487,2.549897941092405,2.4559552185393554
30,28.000000000000046,28.000000000000142,28.000000000000956,28.000000000007038,28.000000000049916,28.000000000330527,28.000000002018407,28.000000011296091,28.000000057762929,28.000000269529405,28.000001147376107,28.000004458442259,28.000015831632272,28.000051455833717,28.000153393283643,28.000420460455974,28.001062822726325,28.002485804089059,28.005399780748441,28.010939739012503,28.020783668547271,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999997827,2.5499999896039509,2.5499675152294579,2.542716905396079,2.3897845595933034
60,28.000000030462139,28.000000044093273,28.000000100749286,28.000000264228575,28.000000709712662,28.000001883379699,28.000004868836655,28.000012179579109,28.000029378252609,28.000068199353748,28.000152222912391,28.000326567587226,28.000673425875242,28.001335354464882,28.002547811177394,28.00468128232913,28.008291419174736,28.014173136520565,28.023412347469645,28.037432667375768,28.05807160012959,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999847,2.549999999934133,2.5499999272370779,2.5499796666075492,2.5485034388188681,2.518467067247979,2.3270792054689116
100,28.000011946080221,28.000013976978067,28.000020905500911,28.000035522181786,28.000063479293846,28.000115007419986,28.000207753066931,28.000371180190012,28.000653103394303,28.001129026216795,28.001915029123836,28.003184975888551,28.005192771010616,28.00830027619655,28.0130112081522,28.020010757805466,28.030209630689786,28.044789732347716,28.065248884266921,28.093456120428829,28.131756065154015,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999967,2.5499999999969511,2.5499999987754576,2.5499997861035277,2.5499836170725754,2.5494389622299658,2.5411224991495738,2.4814109892044542,2.2669136771715266
300,28.019070018886396,28.019580083907581,28.021136084265361,28.023816020925405,28.027751120988881,28.033127648037524,28.040189248598082,28.049239780202623,28.060646658359872,28.074844977120112,28.092342986744409,28.113729916290836,28.139687508142391,28.171006818362148,28.208611669429356,28.253589746504726,28.307232661909772,28.371088678367755,28.447033543502073,28.537359098127617,28.644880850302918,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999954,2.5499999999997534,2.549999999989268,2.5499999996456508,2.5499999911250106,2.5499998312794219,2.5499975616082371,2.5499731426697378,2.5497737332813815,2.5485345582112902,2.5426524609098471,2.5212008256277589,2.4605511394008639,2.3258216035594681,2.0863547911205846
600,28.267806833622892,28.270255642752439,28.277635845633935,28.290049620537921,28.307666783763004,28.330724483884094,28.359526792265935,28.394444410536575,28.435914608380561,28.48444144889341,28.540596254819739,28.605018147186865,28.678414452334028,28.761561036068986,28.855303420632598,28.960560775932095,29.078335731168082,29.209732634865198,29.355987412859822,29.518520237845532,29.69904557992804,2.5499999999999612,2.5499999999998186,2.5499999999978882,2.5499999999748773,2.549999999723819,2.5499999972747451,2.5499999761546572,2.5499998161130062,2.5499987541455238,2.549992596028678,2.5499614252555811,2.549823772039165,2.5492934266298937,2.5475099591336559,2.5422699023521922,2.528795976046283,2.4983978254040871,2.4380054291774815,2.3318293814886739,2.1656288871554126,1.9323328982835415
900,28.863269103854204,28.867665723039217,28.880886344889131,28.9030247135378,28.934235882483257,28.974734977478672,29.024795116331507,29.084744570520925,29.154963098119097,29.235877446346382,29.327956183319586,29.431704320107606,29.54765864323177,29.676385200016909,29.818480704590634,29.974579495590604,30.145367320513042,30.331603925527837,30.534160251841168,30.754084686777958,30.992727437006373,2.5499999987718778,2.5499999972401515,2.5499999875293806,2.5499999384780452,2.5499997045575804,2.5499986615084453,2.5499943524381075,2.5499779490567986,2.5499206000826757,2.5497368251221393,2.5491976916351926,2.5477506198766031,2.5441975015583074,2.5362140009938652,2.5197859609314683,2.4887863742984675,2.4350450471863216,2.3492471142568703,2.2227435327107794,2.0499090272953713,1.8302408385757258
1200,29.762893893581388,29.768780523874433,29.786463663267725,29.81601535722492,29.857555277876031,29.911250838453547,29.977316874995569,30.056015006740697,30.147652598352355,30.252581371414575,30.371195940482487,30.50393286066954,30.651271081466962,30.813734868499978,30.991900211311815,31.186405668556816,31.397969068101826,31.627413243153761,31.875707614398085,32.144038025375075,32.433924517146949,2.5499997448533294,2.5499995844944343,2.5499988443579267,2.5499963750464567,2.5499886067741668,2.5499653334379535,2.5498992785819161,2.5497224493182591,2.5492772634332916,2.5482251648792604,2.5458938344052999,2.5410529747952917,2.5316352887014544,2.5144650907479305,2.4851096502450156,2.4379992505733621,2.3669368629580165,2.2660207971247739,2.1308566509557787,1.9597929323286745,1.7548379186630816
1800,32.189244600398048,32.196944605575723,32.220051114321784,32.258586810893171,32.312589686288497,32.382114461408953,32.467234334655956,32.568043493191851,32.684660495681747,32.817232530066349,32.96594035418952,33.131003458716535,33.312684741641043,33.511293935302788,33.7271894288289,33.960779200242875,34.212523365423266,34.482943146561091,34.772643360301714,35.08235703528203,35.413020351425359,2.5499340933563541,2.5499177645116622,2.5498591878279311,2.5497252254245741,2.5494451067967243,2.5488837997463412,2.547798922771662,2.5457776530276814,2.5421529135788905,2.5359042078593284,2.5255577392823798,2.5091112271451346,2.4840175142270451,2.4472628275118726,2.3955660939220493,2.3257035236382029,2.2349308444109122,2.121442514506624,1.9847874842754734,1.826173285085436,1.6486177921756118
3600,40.381566396919119,40.388475544822192,40.409187796907574,40.443660162854556,40.491820200963012,40.553565925129519,40.628765614114627,40.717258155213543,40.818854447586261,40.93334058251753,41.060483713810832,41.200041675050386,41.351777401899305,41.515478971022453,41.690985493882508,41.878218215066923,42.077215119612525,42.288166471574002,42.511448406827412,42.74765231853862,42.99760856987546,2.525737447361569,2.5246533629114185,2.5213232577356326,2.51551445148898,2.5068439322111411,2.4947867018158956,2.4786898461613096,2.457793972989669,2.4312633685448133,2.3982254479073593,2.357818933209344,2.3092488401962341,2.251844995412549,2.1851196637961512,2.1088191039822934,2.0229635194036115,1.9278697831995137,1.8241512273614859,1.7126894123519718,1.5945805346432207,1.4710936781961355
5400,45.846754722910703,45.850297161984955,45.860913841138384,45.878574356389088,45.903228250592015,45.93480590329532,45.973219706117504,46.018365692273406,46.070125526280385,46.1283685497569,46.192953301517392,46.263727645024829,46.340526450102843,46.423165823800616,46.511433285912226,46.605074075427488,46.703774856570064,46.807147222328929,46.914714233665308,47.025903479481499,47.140049744132817,2.3860641271585896,2.3836893495716418,2.3765428390311714,2.3645589443250596,2.3476343249772582,2.3256363771382573,2.2984144431273301,2.2658130360028164,2.2276862663446044,2.1839125597956479,2.1344086962127049,2.0791421840277731,2.0181410072080057,1.9514998572051543,1.8793821059629565,1.8020169625097562,1.7196913392517594,1.6327358906497877,1.5415051226470828,1.4463504117585724,1.3475673427352934
7200,48.450235180000952,48.451758560690045,48.456323339710174,48.463914050681026,48.474504932876187,48.48806024304357,48.504534746794043,48.523874542234644,48.546018272119262,48.570898702552391,48.59844453227133,48.6285821676125,48.661237091964217,48.696334423192482,48.73379833289809,48.773550218066404,48.815505847589236,48.859572087026748,48.905644137837839,48.953604421695552,49.00332465583017,2.1708515150834944,2.1683483871558518,2.1608422693305447,2.1483422607439628,2.1308645933023831,2.108433797514877,2.081084292298955,2.0488621320930287,2.0118267080188952,1.9700521745667288,1.9236283585085268,1.8726609046975404,1.8172704272246072,1.7575904637057078,1.6937640544639094,1.6259387131840926,1.5542592901866019,1.4788577526099915,1.399838668283377,1.3172586729393165,1.2310926587075133
9000,49.466980512108819,49.467476546750554,49.46896151041107,49.471425974913224,49.474853541699957,49.479219962383418,49.48449209950288,49.490627100152473,49.49757241275757,49.505267642643688,49.513649641971405,49.522662550203165,49.532274572545816,49.542502916097767,49.553447359560273,49.565331419198529,49.578548214707531,49.593706381113648,49.611670302105338,49.633589109491268,49.66091003188739,1.9566417848473037,1.9543882399196799,1.9476337473787821,1.9363957994417569,1.920703511001284,1.9005972346490576,1.8761281079857115,1.8473574085926885,1.814355669731851,1.7772014984728928,1.7359800234510518,1.690780877458566,1.6416955833516071,1.5888141524189039,1.5322206215148355,1.4719871593094791,1.408166224663463,1.3407797322604571,1.2698028970617641,1.1951435804168575,1.1166476582384579
10800,49.849495559376422,49.849722408138184,49.850406567437915,49.851558739314918,49.853195995413202,49.855340670149339,49.858018836856338,49.861258454771679,49.865087340344132,49.869531215488173,49.874612195207341,49.880348170092674,49.88675357673511,49.89384198911241,49.901630776662614,49.910147761028362,49.919439409692757,49.929579723256964,49.940678726530749,49.952889485081279,49.966412914493866,1.7661771502088877,1.7641823693370045,1.7582027939109033,1.7482518559533526,1.7343517690604,1.7165329878243878,1.6948335430743164,1.6692981559275784,1.6399771025807455,1.6069247887843097,1.5701979733594498,1.5298535503883255,1.4859457575818953,1.4385226308030097,1.3876215025193295,1.3332633968371541,1.2754462716028561,1.2141367462274657,1.1492580759421969,1.0806683807577215,1.0081231462497797
