comparison,field,time_s,r_cm,final_value,comparison_value
space,T,6577,2.0,48.553249998267745,48.553250003612945
space,T,7288,1.8,48.96334999982076,48.96335000308136
space,T,8218,0.2,49.137249999392814,49.137250000296824
space,C,187,2.0,2.1734499608506233,2.1734500677323783
space,C,370,1.8,2.429049987247639,2.4290500234904036
space,C,416,1.9000000000000001,2.256449946733092,2.2564500055179173
space,C,453,1.9000000000000001,2.2365499886521953,2.2365500437510724
space,C,1700,1.7000000000000002,2.1435499916033005,2.143550004347546
space,C,1706,1.1,2.5157500033737747,2.5157499988645635
space,C,2077,0.8,2.5344500038856763,2.534449999424126
space,C,3470,0.1,2.529650001579114,2.5296499958399585
time,T,296,2.0,28.63045001681073,28.63044999432156
time,T,789,1.4000000000000001,29.43295000601343,29.432949997632054
time,T,979,2.0,31.35894999159331,31.35895006359564
time,T,1041,1.5,30.515849989535212,30.515850042072067
time,T,1662,1.9000000000000001,34.37605002529409,34.376049995075995
time,T,2264,1.1,35.33735000925069,35.33734998981902
time,T,2374,0.0,34.86955001600309,34.86954999854075
time,T,2431,1.4000000000000001,36.742849997372986,36.742850014867315
time,T,2471,1.4000000000000001,36.932350002727134,36.932349998294946
time,T,3081,1.4000000000000001,39.65014999044042,39.65015004117243
time,T,3134,1.7000000000000002,40.54545000972092,40.54544990086686
time,T,4089,2.0,44.43185005924668,44.431849917479035
time,T,4330,1.8,44.706450044508756,44.706449999010104
time,T,4388,1.1,43.838550032059324,43.83854999744666
time,T,4670,1.4000000000000001,44.95005000453655,44.95004998863715
time,T,4975,1.4000000000000001,45.68385000114636,45.68384997101501
time,T,5267,1.7000000000000002,46.58464996906032,46.58465000054803
time,T,5370,0.7000000000000001,45.957449996921106,45.957450016586456
time,T,5585,0.30000000000000004,46.24854998913487,46.248550005352826
time,T,5757,0.5,46.61694999632903,46.61695001604696
time,T,6051,0.5,47.10054999533218,47.100550022385235
time,T,6404,1.8,48.252349985399256,48.25235000791485
time,T,6577,2.0,48.553249998267745,48.553250107191054
time,T,6853,1.9000000000000001,48.67395009289301,48.67394994719599
time,T,6861,1.3,48.396549991675144,48.396550025079925
time,T,7288,1.8,48.96334999982076,48.96335006266102
time,T,7414,0.30000000000000004,48.64955000090715,48.64954999969089
time,T,7455,2.0,49.090350135529185,49.09034999934154
time,T,7588,1.8,49.0964499783868,49.09645000491595
time,T,7654,1.5,49.032849992759296,49.03285001485339
time,T,7747,0.5,48.89434999046968,48.89435000427151
time,T,7781,1.5,49.09495000343558,49.0949499623849
time,T,7869,1.9000000000000001,49.276149977892146,49.27615010960581
time,T,8132,2.0,49.39155009174672,49.39154991830222
time,T,8218,0.2,49.137249999392814,49.1372500180349
time,T,8351,1.9000000000000001,49.45185010269565,49.45184997350018
time,T,8553,0.1,49.295349988789326,49.295350007706155
time,T,9048,0.7000000000000001,49.50364997371027,49.503650014419804
time,T,9176,1.9000000000000001,49.68585006323478,49.68584999817286
time,T,9622,1.9000000000000001,49.77045004638327,49.7704498638781
time,T,9647,1.2000000000000002,49.70964994708304,49.70965002439224
time,T,9667,1.9000000000000001,49.798849950345044,49.798850135215275
time,T,9749,1.6,49.76724998792833,49.76725003944766
time,T,9961,1.9000000000000001,49.82615022527963,49.82614992023633
time,T,10007,0.5,49.73584998056264,49.73585000287078
time,T,10265,2.0,49.87324994521431,49.87325008033007
time,T,10636,1.4000000000000001,49.85875003175411,49.85874999067471
time,T,10772,1.4000000000000001,49.89584997988088,49.89585000346466
