budget_m,method,a_m,b_m,conditional_radius_upper_m,guaranteed_reception
250.0,forward,250.0,0.0,625.1220416792631,True
250.0,diagonal_45,176.7766952966369,176.7766952966369,243.30684510701087,True
250.0,perpendicular,1.5308084989341916e-14,250.0,227.5522861130177,False
500.0,forward,500.0,0.0,500.1239142698494,True
500.0,diagonal_45,353.5533905932738,353.5533905932738,128.67782475344364,True
500.0,perpendicular,3.061616997868383e-14,500.0,140.61750803150167,False
750.0,forward,750.0,0.0,375.1307367042707,True
750.0,diagonal_45,530.3300858899107,530.3300858899107,81.47873453864253,True
750.0,perpendicular,4.5924254968025744e-14,750.0,107.47218543041129,False
1000.0,forward,1000.0,0.0,500.0,True
1000.0,diagonal_45,707.1067811865476,707.1067811865476,58.453756602521864,True
1000.0,perpendicular,6.123233995736766e-14,1000.0,91.42888661314751,False
