group,case_code,practice_run_no,policy,official_jammer_count,cleared_count,full_clear,outcome,virtual_time_s,time_per_actual_target_s,time_per_cleared_target_s,distance_m,measure_count,switches,clear_failures,export_method,export_verified,package_sha256,exported_file,official_started_at,official_ended_at,movement_s,measurement_s,switching_s,successful_clear_s,failed_clear_s,accounting_max_step_error_s
v6,42W7-QHMW-AKQQ-DVKN,2127912546383610321,v6,11,11,True,completed,3013.8278,273.98434545454546,273.98434545454546,11004.138999402012,126,119,3,official_saved_file_copy,True,6fec4dd0a9d7319397a8f4147c0be1dc2ae6e1002209c736cd781794f4ee9c94,[原归档路径已省略],2026-09-12T09:33:05.777Z,2026-09-12T09:33:11.214Z,2200.8277998804024,630.0,119.0,55.0,9.0,4.5329150566431053e-07
v6,J8MS-GMM2-SK79-2SV3,5680010159078908093,v6,14,14,True,completed,2828.305251,202.02180364285715,202.02180364285715,10246.526247450154,117,115,3,official_saved_file_copy,True,38c789f65aa9d8162cafa3518621b7d74f0d5d9e7707ec6457cb929c8865dcb7,[原归档路径已省略],2026-09-12T09:33:22.104Z,2026-09-12T09:33:27.249Z,2049.3052494900307,585.0,115.0,70.0,9.0,4.96307563935261e-07
v6,QC47-GNEM-JFM9-YHZV,8396448859419708329,v6,11,11,True,completed,2916.434541,265.1304128181818,265.1304128181818,10612.172702306916,123,115,3,official_saved_file_copy,True,bf05312f5c410baac563a17d6ceeb3b32b185555673f17f2363985ce896d0830,[原归档路径已省略],2026-09-12T09:33:38.719Z,2026-09-12T09:33:43.863Z,2122.4345404613837,615.0,115.0,55.0,9.0,4.904733312827148e-07
v6,UJSN-NNK4-2395-WDF7,4082026078942219291,v6,13,13,True,completed,3197.433934,245.95645646153847,245.95645646153847,11362.169677376409,144,137,1,official_saved_file_copy,True,138b917a312f32ea0efc4719a033b158bed37fb1a446ca5ee0cd393ad84696b4,[原归档路径已省略],2026-09-12T09:33:54.667Z,2026-09-12T09:33:59.863Z,2272.4339354752815,720.0,137.0,65.0,3.0,4.919746743325959e-07
v6,58VN-DTGM-KMAH-NVB6,8746631098871945062,v6,10,10,True,completed,2759.319524,275.9319524,275.9319524,10001.59761118135,118,113,2,official_saved_file_copy,True,114370ad7ec83d35725e4b3f275bf623cb8d4ea38d404bae328d4c2d0302e006,[原归档路径已省略],2026-09-12T09:34:10.924Z,2026-09-12T09:34:16.108Z,2000.3195222362697,590.0,113.0,50.0,6.0,4.942057785228826e-07
v6,HWVK-4YP8-R45N-XVEQ,5536913227122970909,v6,15,15,True,completed,2888.832105,192.588807,192.588807,10564.1605114988,117,110,2,official_saved_file_copy,True,2b630ccf69b750aba4252290b45527aa2cbd553925f0e53f145a5e00e3ee0328,[原归档路径已省略],2026-09-12T09:34:26.812Z,2026-09-12T09:34:32.537Z,2112.8321022997598,585.0,110.0,75.0,6.0,4.898711019052371e-07
v6,PR7H-3S5A-RRD6-NPAP,7008071225640953052,v6,11,11,True,completed,2664.327733,242.21161209090909,242.21161209090909,9556.638679024158,116,109,3,official_saved_file_copy,True,0fbcecaca057394f85ee70e4d56fb17226ddff0b3b7d75147e6a4df8f5003e81,[原归档路径已省略],2026-09-12T09:34:42.594Z,2026-09-12T09:34:55.249Z,1911.327735804832,580.0,109.0,55.0,9.0,4.878596229218601e-07
v6,K38V-WN3Z-SRVE-WTQJ,7661735242292574101,v6,14,14,True,completed,3092.240456,220.87431828571428,220.87431828571428,11636.202274535437,115,108,4,official_saved_file_copy,True,9c7cec7562c782f46bd2a9f88c31b2c852d9211e2fa04988cae9ce4a30934164,[原归档路径已省略],2026-09-12T09:35:06.616Z,2026-09-12T09:35:12.659Z,2327.2404549070875,575.0,108.0,70.0,12.0,4.950218652766125e-07
v6,J39S-MUHY-X76N-GNCP,8509673383495116634,v6,13,13,True,completed,2935.637737,225.81828746153846,225.81828746153846,10903.188686087839,116,110,0,official_saved_file_copy,True,91b644e932456fdece4b6652753a0c87b86f68fdcc21104a1dbd0ab3179f3453,[原归档路径已省略],2026-09-12T09:35:23.989Z,2026-09-12T09:35:29.714Z,2180.6377372175675,580.0,110.0,65.0,0.0,4.817258201228469e-07
v6,NGDT-23YW-8SFD-GWBV,6994030634642589593,v6,11,11,True,completed,2919.504523,265.4095020909091,265.4095020909091,10582.522618755165,125,120,1,official_saved_file_copy,True,77f8beef62ee11013d80d0ae180475ce57547f8dbcf1c3762b79550282ea79a0,[原归档路径已省略],2026-09-12T09:35:40.52Z,2026-09-12T09:35:45.412Z,2116.5045237510326,625.0,120.0,55.0,3.0,4.6828013466893026e-07
