case_code,official_jammer_count,directional_count,cleared_count,full_clear,virtual_time_s,time_per_actual_target_s,distance_m,measure_count,switches,clear_failures,strategy
5WAC-MGG6-QQZR-AQ72,11,9,11,True,8206.767813,746.0698011818182,31128.8390690404,324,306,0,cautious
A63C-53Q4-Y9ES-B7TC,11,8,11,True,10567.182168,960.6529243636363,41955.91079449072,305,272,108,cautious
U4FC-3FFF-36PX-STR5,14,3,14,True,5939.241003,424.23150021428575,23001.20503784312,213,204,0,cautious
HTBN-TYAE-JVMD-VCAR,11,7,11,True,6768.76549,615.3423172727272,24338.827451489935,309,301,0,cautious
J5G4-DQHQ-9RED-5NG9,11,2,11,True,6175.673805,561.4248913636364,22328.369026150907,277,270,0,cautious
D4MU-X776-SXUC-YM5B,10,8,10,True,6609.401401,660.9401401,24592.007012928836,276,261,0,cautious
3TPE-PEBY-2QR2-RMJU,16,6,16,True,6994.116701,437.1322938125,29070.583490910816,186,170,0,cautious
HAXY-UABQ-BJ6Z-DA5Z,10,3,10,True,8285.885453,828.5885453000001,31659.42725118096,295,279,50,cautious
V3G8-MT85-N6FS-ACWZ,12,9,12,True,9189.108522,765.7590435000001,35405.54259182963,318,296,54,cautious
M442-24QV-WWBP-PP74,10,2,10,True,6799.533151,679.9533150999999,24692.66574156264,303,296,0,cautious
99XR-VAN7-4FQF-4MPG,14,13,14,True,9196.898135,656.9212953571429,37409.490648793006,252,226,53,cautious
99PK-7V5H-ZB4V-YFX7,10,10,10,True,8247.278605,824.7278604999999,31391.393015699978,317,286,16,cautious
TBY4-JXED-UWGW-P7Q7,11,8,11,True,6835.740853,621.4309866363636,24863.70426372554,303,293,0,cautious
QVHU-FGH4-ACRB-8UC9,15,14,15,True,11838.693918,789.2462612,49963.469571636444,250,206,105,cautious
T2F2-M6V9-J2FA-7CE7,14,10,14,True,7938.836943,567.0597816428572,31829.18473309809,254,233,0,cautious
TBMX-7AVQ-5VEX-82DK,16,1,16,True,5463.784952,341.4865595,21243.92475713578,190,185,0,cautious
EPSP-27Q8-U2Z4-5WD8,14,7,14,True,8390.252923,599.3037802142857,32961.26461770383,291,273,0,cautious
3GYT-8NSR-6SXT-RG38,14,11,14,True,6919.353917,494.2395655,26576.769562177535,259,239,0,cautious
G5CJ-5WC4-YCGX-PWKF,15,5,15,True,9338.205304,622.5470202666667,37791.02648906933,246,223,84,cautious
CTGZ-TJ4X-R6CC-4R92,13,4,13,True,7773.607497,597.9698074615385,31008.037472642147,227,204,56,cautious
5HNK-S728-ESSS-NZH4,15,3,15,True,5887.75964,392.51730933333334,23088.79821664342,200,195,0,cautious
XP4G-T2JS-DJSH-6ZBJ,14,11,14,True,11049.361699,789.2401213571428,45086.80850478053,286,241,97,cautious
DARR-NQNN-PUW7-BBUH,11,9,11,True,12106.854158,1100.6231052727273,49314.27075558565,324,287,94,cautious
RTXZ-6HY2-4PKM-WPZV,11,8,11,True,8621.562713,783.7784284545454,32702.813587845038,312,280,62,cautious
V563-83HW-DV5R-N69E,15,8,15,True,6506.247634,433.7498422666667,25856.23818754893,213,192,1,cautious
YRME-ECZ4-47P9-NCTX,13,2,13,True,6886.426736,529.7251335384616,26702.133702958105,248,241,0,cautious
NM7H-DJ6W-PU9M-SS4A,15,2,15,True,8650.479677,576.6986451333333,34757.39837042778,260,243,27,cautious
RV2J-N85E-D655-KDQF,11,8,11,True,8776.255524,797.8414112727273,33966.27758392759,300,275,51,cautious
KP6Z-KNUU-KRHE-HKR9,11,9,11,True,8783.439112,798.4944647272728,34527.19557004154,305,274,8,cautious
6GZB-7BEW-6QCE-5QWA,15,5,15,True,8357.367898,557.1578598666667,34506.83946120752,202,185,62,cautious
3686-79GB-Q235-K5NC,14,14,14,True,7416.870316,529.7764511428571,27059.351582609714,293,257,71,m07
AB2F-UVWU-MQQH-GJFT,10,2,10,True,6352.990289,635.2990289,22174.95140585924,289,273,50,m07
XXSU-TEUT-7SUN-JQUM,10,7,10,True,6236.930177,623.6930177,21564.650880943784,314,304,0,m07
