x,y,J,J_lower,P_H,P_N,P_A,P20,E_radius,safe_margin,angle_calls
-1400,0,1755214.50866285,1755214.50866285,0,0.999592814359859,0.00041804718649305,1.69885752688818e-07,747.330812057432,-1400,81
-1400,100,1755261.9163974,1755261.9163974,0,0.999620133721007,0.000376519953246161,3.48274221821542e-06,747.348263576916,-1402.72013096102,81
-1400,200,1755404.047216,1755404.047216,0,0.999701705249662,0.000268435076717898,6.61737643069804e-06,747.402779071195,-1409.67933738346,81
-1400,300,1755639.66926462,1755639.66926462,0,0.999836396131478,0.000137552834326726,1.15592154590514e-05,747.497244738327,-1420.75298002507,81
-1400,400,1755881.80338297,1755881.80338297,0,0.999974498023264,3.73847494903481e-05,7.30960899715156e-06,747.597047925169,-1435.88494629523,81
-1400,500,1755926.47321952,1755926.47321952,0,0.999999962906255,8.15956933300029e-07,8.15956933300029e-07,747.6153694738,-1455.00019406826,81
-1300,0,1750521.0220731,1750521.0220731,0,0.996864622118773,0.00336256568381939,1.42756074876675e-08,745.598303542175,-1300,117
-1300,100,1750704.98681591,1750704.98681591,0,0.996978528539348,0.00318923544367887,7.69194015067953e-06,745.645305035422,-1302.84486856889,99
-1300,200,1751274.06099882,1751274.06099881,0,0.997318524321121,0.00270453427001248,1.77412569067546e-05,745.824987232276,-1310.1049694725,99
-1300,300,1752233.69704763,1752233.69704763,0,0.997879567105948,0.0020085214364679,2.30032682213897e-05,746.165188875273,-1321.65360277303,99
-1300,400,1753575.42737479,1753575.42737479,0,0.998653658287126,0.00124818932481854,1.57552292475044e-05,746.678016371072,-1337.42720369137,99
-1300,500,1755072.1275519,1755072.1275519,0,0.999511280821541,0.000586859267373821,4.71433435458551e-05,747.275504676922,-1357.34096257709,81
-1300,600,1755594.03684387,1755594.03684387,0,0.999810376051697,0.000158934486472506,1.69499767703905e-05,747.478325603438,-1381.29101437253,81
-1300,700,1755910.27313111,1755910.27313111,0,0.999990735738169,6.39204074981195e-06,6.39204074981195e-06,747.608533347562,-1409.15698459416,81
-1200,0,1737121.08727774,1737121.08727774,0,0.988851305103986,0.0113601533591356,8.6263868578234e-08,740.948810823905,-1200,117
-1200,100,1737521.86221273,1737521.86221273,0,0.989164103153731,0.0109579460309598,6.14861632893898e-06,740.962654763476,-1202.98092358123,99
-1200,200,1738939.90177877,1738939.90177877,0,0.99009751248537,0.00980698571964033,1.43194289356413e-05,741.293399132405,-1210.56902876844,99
-1200,300,1741461.63398612,1741461.63398612,0,0.991636970417728,0.00806864952858781,7.48528837552566e-05,742.087836875776,-1222.63490304587,99
-1200,400,1745076.65168881,1745076.65168881,0,0.993759441554684,0.00599124072282824,5.79489833988888e-05,743.389602553086,-1239.1061595032,81
-1200,500,1749714.69819402,1749714.69819402,0,0.996435047698804,0.00387859691847521,3.42952582378901e-05,745.186302477283,-1259.88647387709,81
-1200,600,1752215.93341931,1752215.93341931,0,0.997876787089065,0.00204438079671184,4.18103743762818e-05,746.131698020047,-1284.8582792156,81
-1200,700,1754709.09900444,1754709.09900443,0,0.999304270913027,0.000749137354121357,6.71110971629809e-05,747.125719031757,-1313.88587388997,81
-1200,800,1755689.26432032,1755689.26432032,0,0.999864725071088,0.000114113974824898,2.62747654937183e-05,747.517214885295,-1346.81876562188,81
-1100,0,1711320.84269548,1711320.84269548,0,0.972736008650921,0.0269371983298403,1.27077922197394e-09,732.520853903225,-1100,117
-1100,100,1711672.26847031,1711672.26847031,0,0.973403325455986,0.026201044631151,1.77235005875884e-05,732.142894053425,-1103.12990816819,99
-1100,200,1714076.81689322,1714076.81689322,0,0.975394163859611,0.0240704078247109,2.98087183361263e-05,732.335332722699,-1111.07695073367,99
-1100,300,1719155.17137611,1719155.17137611,0,0.978676109084437,0.0207743953258513,8.83113364142457e-05,733.726495940409,-1123.70816573427,81
-1100,400,1726762.26912991,1726762.26912991,0,0.983198031768878,0.0166724189757457,5.92406376017992e-05,736.366182667262,-1140.94064712077,81
-1100,500,1735774.82172423,1735774.82172423,0,0.988427257115184,0.0122212762033359,5.24748663086915e-05,739.759528082105,-1162.66440664781,81
-1100,600,1741667.5725097,1741667.5725097,0,0.991834396478789,0.00792801713382799,0.000141091072411428,741.950054056793,-1188.74571777281,81
-1100,700,1748478.26859984,1748478.26859984,0,0.995739968830978,0.00428665558247725,0.000116447854227884,744.635803118352,-1219.03093677314,81
-1100,800,1752788.00553648,1752788.00553648,0,0.998207238568729,0.00169368202276779,6.93663414918265e-05,746.344716341993,-1253.35056740928,81
-1100,900,1755360.48500265,1755360.48500265,0,0.999676980479423,0.00033192318802279,5.05590944012218e-05,747.384465513467,-1291.52334941872,81
-1100,1000,1755922.29492012,1755922.29492012,0,0.99999758328673,1.49301284282619e-06,1.49301284282619e-06,747.613596134188,-1333.3601827019,81
-1000,0,1672065.00389926,1672065.00389926,0,0.946547413023915,0.0526200128757066,3.76819072443564e-09,720.579013144997,-1000,117
-1000,100,1670859.143546,1670859.14354599,0,0.947746524715835,0.0514353935360179,4.04283485667147e-05,718.706826143046,-1003.29375569342,99
-1000,200,1673484.47183472,1673484.47183472,0,0.951322989172919,0.0479836703781804,0.000148713571226539,717.838970327694,-1011.6352434991,81
-1000,300,1682236.06079516,1682236.06079516,0,0.957216033163255,0.0425699965485749,8.03237880242057e-05,719.936496027095,-1024.88686947571,81
-1000,400,1695786.42851888,1695786.42851888,0,0.965330118585959,0.0356773554674947,6.01789579290549e-05,724.530620069884,-1042.9530869461,81
-1000,500,1707439.72958965,1707439.72958965,0,0.972164351648393,0.0279310655470785,0.000211074131880201,728.635087237982,-1065.70757774426,81
-1000,600,1719988.30255777,1719988.30255777,0,0.979417545483432,0.0200488709530678,0.000167340856419133,733.348474566372,-1092.99743861227,81
-1000,700,1734466.14736219,1734466.14736219,0,0.987722269046238,0.0127760933746878,0.000156105131090916,739.060552405042,-1124.64791420249,81
-1000,800,1743572.91975944,1743572.91975944,0,0.992941183354193,0.00680189146361407,0.000103977359656723,742.63282489051,-1160.46736624565,81
-1000,900,1751611.00544451,1751611.00544451,0,0.997535091093856,0.00264750864441456,6.38270304498735e-05,745.874328929545,-1200.25219506762,81
-1000,1000,1755218.15697313,1755218.15697313,0,0.999595591853684,0.00050736026940785,4.80801859690605e-05,747.329271563423,-1243.7914794355,81
-1000,1100,1755920.89761565,1755920.89761565,0,0.999996787457778,1.86652355793552e-06,1.86652355793552e-06,747.613004978746,-1290.87116278389,81
-900,0,1427062.51132643,1427062.51132643,0,0.910595417263868,0.0905168867479979,9.63689210527471e-09,664.222521029688,-900,117
-900,100,1429262.60132159,1429262.60132159,0,0.912218828126175,0.0888198597865976,5.65755431864977e-05,660.36844012707,-903.474804815909,99
-900,200,1459250.25281352,1459250.25281352,0,0.91700562921113,0.0838211587786701,0.000115728248512658,663.183021857159,-912.251765290444,81
-900,300,1522351.08221373,1522351.08221373,0,0.924692340508984,0.0758226482676105,7.3515900924294e-05,676.471950357868,-926.187243012443,99
-900,400,1617855.13066593,1617855.13066593,0,0.934792705634624,0.0653647269823876,0.000214988000011833,698.677557374217,-945.170372083466,117
-900,500,1661895.23721568,1661895.23721568,0,0.946032106671871,0.0532878889021705,0.000198863152606895,710.712988952699,-969.055168784965,99
-900,600,1684399.77471879,1684399.77471879,0,0.959035431457969,0.0405992653327972,0.000203885518174713,719.231074164095,-997.665822655592,117
-900,700,1707424.51943165,1707424.51943164,0,0.972255617167117,0.028318281483243,0.000138978472428223,728.24424988136,-1030.80260495542,99
-900,800,1724574.18765906,1724574.18765906,0,0.982084957858069,0.017447091554597,0.000134809007418505,734.976718835086,-1068.24797874461,81
-900,900,1740708.78073886,1740708.78073886,0,0.991308693279569,0.00886390579021088,9.05592528411143e-05,741.464550164638,-1109.77254292225,81
-900,1000,1750667.34687351,1750667.34687351,0,0.99699760468653,0.00317389977512392,8.92355716110806e-05,745.483140058764,-1155.14052074478,81
-900,1100,1755246.84751647,1755246.84751647,0,0.999612094967465,0.000482012938871553,3.82578374502867e-05,747.339884603038,-1204.11459444456,81
-800,0,1192254.25530837,1192254.25530837,0,0.858248876274035,0.141043369421861,2.24869262732106e-08,606.488790659065,-800,117
-800,100,1176342.86922996,1176342.86922996,0,0.860454472160406,0.138835320011513,8.71055175516306e-06,593.562245002326,-803.675911447975,81
-800,200,1197308.69671984,1197308.69671984,0,0.867007028378184,0.132287896724657,8.12760826743422e-05,591.324424346608,-812.936092316864,99
-800,300,1255172.8368843,1255172.8368843,0,0.87769926267793,0.121671242284189,0.000217934914626698,603.334382390331,-827.628998487548,117
-800,400,1345513.02301507,1345513.02301507,0,0.892133651633742,0.107462617426493,0.000255166849051848,625.935828288963,-847.625026189041,117
-800,500,1472132.00296077,1472132.00296077,0,0.909630361956498,0.0904231378660146,0.000306722490459804,658.335758013519,-872.754313487893,117
-800,600,1632308.66358921,1632308.66358921,0,0.929203449078523,0.0717135613247428,0.000396773652167973,698.568189869142,-902.813495846339,99
-800,700,1662719.0246141,1662719.0246141,0,0.946694841567117,0.0529454026200779,0.000334908488839803,710.28177543295,-937.573142171005,99
-800,800,1693420.98884782,1693420.98884782,0,0.964283624889038,0.0355601239523668,0.000286696462706773,722.429928049162,-976.785310181629,99
-800,900,1719033.33625322,1719033.33625321,0,0.97893191144457,0.0208136987675415,0.000250002870706105,732.672456151817,-1020.19074441928,81
-800,1000,1739891.6926949,1739891.6926949,0,0.990845615848306,0.00973994136657562,0.000176777233901733,741.11868000238,-1067.52536263157,81
-800,1100,1750989.42710387,1750989.42710387,0,0.997182588447636,0.00294340153687882,0.000133743571739216,745.605178456998,-1118.52580971114,81
-800,1200,1755506.59097212,1755506.59097212,0,0.999760500934482,0.000246430100483092,4.65447195964432e-05,747.442972389225,-1172.93398144069,81
-700,0,999637.200003327,999637.200003327,0,0.795629683689267,0.204206117658432,4.96692351867559e-08,557.714138597878,-700,117
-700,100,948911.097677453,948911.097677453,0,0.798428674732698,0.201485664095325,2.49921938579984e-05,528.724607796704,-703.900599948954,99
-700,200,958467.532172672,958467.532172672,0,0.80679615897375,0.193386451994417,5.74744473969226e-05,519.855728281637,-713.700013361108,99
-700,300,1009508.61067115,1009508.61067115,0,0.820628316400053,0.180153134561805,0.000235548981059244,529.722436742092,-729.236310364005,117
-700,400,1091499.58068889,1091499.58068889,0,0.838582167874626,0.162184478636803,0.000404635851498184,551.298736355665,-750.356734602628,99
-700,500,1206983.87343106,1206983.87343106,0,0.859766529168208,0.140174835117875,0.000334259911979949,583.007634791357,-776.862172385982,99
-700,600,1365317.65118941,1365317.65118941,0,0.884249522786006,0.115121019971395,0.000330067811699046,625.764215497177,-808.515872461087,99
-700,700,1580521.89669872,1580521.89669872,0,0.910553393997418,0.0886047994943858,0.00030520322599079,680.81877170754,-845.052883315583,99
-700,800,1647858.66453428,1647858.66453428,0,0.938248841966086,0.0629786151943923,0.000274590782880117,704.087067307025,-886.189445288729,99
-700,900,1684320.5984465,1684320.5984465,0,0.959111831622409,0.0402297323618053,0.000242135744658127,718.585257167199,-931.631720801369,99
-700,1000,1718007.53245836,1718007.53245836,0,0.978355369114078,0.0218401813049153,0.000209789443338545,732.204831480027,-981.083437438594,81
-700,1100,1741189.32476951,1741189.32476951,0,0.991589695567343,0.00892963697165813,0.000180022264581331,741.620770652822,-1034.25221331598,81
-700,1200,1752762.00541679,1752762.00541679,0,0.998194567178133,0.00194351318825879,9.5300013050288e-05,746.32431245807,-1090.85450203223,81
-700,1300,1755901.8503283,1755901.8503283,0,0.999985926913055,2.27568235375195e-05,1.31625601359793e-05,747.605266786406,-1150.61922012147,81
-600,0,856571.941786124,856571.941786124,0,0.719744082866129,0.280001789070149,0,519.63282589996,-600,81
-600,100,747206.639264471,747206.639264471,0,0.723017287550687,0.276763799158746,8.70246338422191e-05,465.508175626365,-604.153270568348,117
-600,200,742591.080544629,742591.080544629,0,0.732858590799733,0.267120951480283,0.000211133418808473,448.321286980941,-614.558204823407,117
-600,300,784543.639208729,784543.639208729,0,0.749318357173332,0.251281882346264,0.000343140870936449,454.750507274632,-631.039140563475,99
-600,400,856121.880358993,856121.880358992,0,0.770500448500528,0.229536687414996,0.000262482862244804,474.232369165768,-653.41439431786,99
-600,500,960371.212971983,960371.212971983,0,0.796931350010636,0.202555705416873,0.000389129568297715,505.304416148881,-681.448673205624,117
-600,600,1106244.74593634,1106244.74593634,0,0.828533406041974,0.171160208183895,0.000423362303710778,548.664039529254,-714.864461673986,99
-600,700,1308721.23716191,1308721.23716191,0,0.864222682852945,0.136708360000027,0.000452783913862172,606.038293685831,-753.35410091626,99
-600,800,1579239.28439973,1579239.28439973,0,0.899051471637152,0.10142784991321,0.000388491053211471,676.313544539581,-796.591518539293,117
-600,900,1634915.96012988,1634915.96012988,0,0.930902883138958,0.0687271305971637,0.000406768469363005,698.543099660368,-844.242816381503,99
-600,1000,1683288.40720864,1683288.40720864,0,0.958540963865902,0.0409886473061785,0.000208053295917715,718.048558715555,-895.975223219501,99
-600,1100,1721525.29826469,1721525.29826468,0,0.980370166654318,0.0198625718295765,0.000173262490961648,733.586521378156,-951.464201144795,81
-600,1200,1744890.95714845,1744890.95714845,0,0.993704405933698,0.00642942755752595,0.0001341256243113,743.104802071226,-1010.39871906971,81
-600,1300,1754673.40113212,1754673.40113212,0,0.999285419450354,0.000657868880123271,5.2745929748238e-05,747.099296991596,-1072.48485903386,81
-500,0,775744.616304031,775744.616304031,0,0.63157440297768,0.368425597673507,0,496.59314567184,-500,153
-500,100,576035.011716264,576035.011716264,0,0.635339022579803,0.364675211618973,0.000139694647458475,406.428574219776,-504.439489126714,117
-500,200,554890.567357294,554890.567357294,0,0.64648432814938,0.353433109610178,0.000327290304442141,379.413619439409,-515.529167562045,99
-500,300,586071.296980793,586071.296980793,0,0.665036325840246,0.334983224682307,0.000392939219123419,381.20087826655,-533.075059812389,99
-500,400,646974.853201977,646974.853201976,0,0.690412329544532,0.309622470317001,0.00042058794348386,398.281946984105,-556.858895438574,99
-500,500,738412.62737943,738412.62737943,0,0.722334542998807,0.277546702801658,0.00111323876387564,427.845611498656,-586.600170677438,99
-500,600,867942.831954051,867942.831954051,0,0.760049310704005,0.239831064908395,0.00115970520751855,469.982368076875,-621.97120285199,99
-500,700,1050341.56333543,1050341.56333543,0,0.802843363463467,0.197417056406557,0.00122361957474564,526.632945209985,-662.612722244296,99
-500,800,1309577.54877161,1309577.54877161,0,0.847089818114286,0.152257242398564,0.000493530844116905,600.189635949453,-708.1485724187,99
-500,900,1568123.82240033,1568123.82240033,0,0.892766716342098,0.107782458825971,0.000381197583701348,671.437445990166,-758.198517444348,99
-500,1000,1634610.72670772,1634610.72670772,0,0.930759989650968,0.0685601346939052,0.000352178964732878,698.208253642632,-812.388619482852,99
-500,1100,1690341.12971821,1690341.12971821,0,0.962578726650639,0.0370259400028818,0.000299847612154803,720.831749857308,-870.359053582604,99
-500,1200,1729476.81623565,1729476.81623565,0,0.984911977453366,0.0149064870234789,0.000136183345491407,736.787956715015,-931.769517982379,81
-500,1300,1750411.7701209,1750411.7701209,0,0.99685492082655,0.00300634785355726,8.53646441560119e-05,745.349762718312,-996.3025702266,81
-500,1400,1755913.90251952,1755913.90251952,0,0.999992800734223,8.13352587774427e-06,8.13352587774427e-06,747.610127187273,-1063.66529097642,81
-400,0,768596.438025464,768596.438025464,0,0.53091852375607,0.469480179566574,0,492.281007193266,-400,153
-400,100,437278.447319339,437278.447319339,0,0.534999479514395,0.465237567934444,0.000199929990921056,353.092797737035,-404.766399588405,117
-400,200,397467.322863049,397467.322863049,0,0.547386385213959,0.452503629514117,0.000414096057392791,314.86808114801,-416.636551377955,99
-400,300,417390.01234497,417390.01234497,0,0.568500765440425,0.431711245685344,0.0030395034561725,311.385892934301,-435.391793200547,99
-400,400,466328.02443258,466328.02443258,0,0.597789949221134,0.401785869113786,0.003443208136134,324.94178046419,-460.766949679154,99
-400,500,543151.832562115,543151.832562114,0,0.634754631431045,0.365503249506657,0.0122053427357453,351.767353072801,-492.424390903069,99
-400,600,654842.239722849,654842.239722849,0,0.678931874998837,0.321080555433091,0.00451070512093102,391.690418547955,-529.974197118975,99
-400,700,815293.983087363,815293.983087363,0,0.729443037911249,0.270805569527911,0.00495920588307376,446.63701307476,-572.994445361238,99
-400,800,1049517.15289,1049517.15289,0,0.783914434295528,0.215744649949076,0.00527120235322193,520.053782990742,-621.049661924263,99
-400,900,1421558.21861177,1421558.21861177,0,0.842220547368981,0.158701914059434,0.00136534218587135,622.971519551117,-673.706213082877,99
-400,1000,1570095.21949166,1570095.21949166,0,0.893939698089682,0.105769933848232,0.000336415877972562,671.916235986558,-730.544125123564,99
-400,1100,1646958.52659719,1646958.52659719,0,0.937827145186716,0.0615479847393174,0.000305863302198239,703.097730322997,-791.165388870368,99
-400,1200,1705247.91877433,1705247.91877433,0,0.971091507389439,0.0284263381754521,0.000244778241413915,726.860163002362,-855.199162239622,99
-400,1300,1741631.3853313,1741631.3853313,0,0.991847050570204,0.00805224941511544,0.000113466490099693,741.750131545895,-922.304453738286,81
-400,1400,1755228.03528732,1755228.03528732,0,0.999601737807734,0.000378311489848876,4.11914909510784e-05,747.327432527793,-992.170899835028,81
-300,0,846702.540854144,846702.540854143,0,0.416602126687284,0.583169899299578,0,510.170450710358,-300,117
-300,100,331690.868252576,331690.868252576,0,0.42127162534241,0.578388222278933,0.000337594164573251,307.035117586794,-305.143324842636,99
-300,200,271517.445651339,271517.445651339,0,0.435450687576704,0.564170983894824,0.00626451703925571,256.541688431089,-317.911066676636,99
-300,300,279684.517500731,279684.51750073,0,0.459641724975241,0.539232251890861,0.00796057365876311,246.911077817044,-338.050843935388,99
-300,400,315993.689714133,315993.689714133,0,0.492618102307363,0.508499253837715,0.0233543915553076,256.216269622467,-365.23644188238,99
-300,500,377326.718628238,377326.718628238,0,0.534468658771363,0.46484456408993,0.0283497106147456,279.065166204542,-399.057190943643,99
-300,600,469662.699557312,469662.699557312,0,0.584744896014762,0.415558784697311,0.0147546956865975,315.476700613346,-439.045344948718,99
-300,700,606376.522035721,606376.522035721,0,0.643206681225872,0.356882523063625,0.0166103295350696,367.389366816407,-484.702659156382,99
-300,800,812339.446979731,812339.446979729,0,0.708277422555268,0.291820517347549,0.0178538831099279,439.052581566026,-535.523515740963,99
-300,900,1146714.86921022,1146714.86921022,0,0.778201375424737,0.22222682989411,0.00614513654700353,540.750191585879,-591.013183063216,99
-300,1000,1486673.09226269,1486673.09226269,0,0.846329829098894,0.153652537835208,0.001324783195187,637.894907265508,-650.700890521478,99
-300,1100,1589968.14249569,1589968.14249569,0,0.905310874630041,0.0943837280858332,0.000297635822030398,679.810805313278,-714.14815907373,99
-300,1200,1671538.56290772,1671538.56290772,0,0.95186242892446,0.0478751431624381,0.000257340306308526,713.061838215353,-780.953225815691,99
