x,y,J,J_lower,P_H,P_N,P_A,P20,E_radius,safe_margin,angle_calls
-1450,0,1755848.37931454,1755848.37931454,0,0.999955442131074,5.11639075291928e-05,7.10250681540409e-08,747.583232311698,-1450,108
-1450,50,1755856.00772949,1755856.00772949,0,0.999959790620833,4.85738352001649e-05,5.3147578192331e-07,747.586402394817,-1450.77611311137,108
-1450,100,1755865.45184381,1755865.45184381,0,0.999965179601786,4.13242996830502e-05,1.45966072489205e-06,747.590214741913,-1452.66157413553,108
-1450,150,1755875.51043125,1755875.51043125,0,0.999970920630544,3.08891541500823e-05,3.08891541500823e-05,747.594224183757,-1455.56389407499,108
-1450,200,1755889.55678672,1755889.55678672,0,0.999978930565606,1.94295686501645e-05,1.94295686501645e-05,747.599943607758,-1459.4794730854,108
-1450,250,1755907.54763572,1755907.54763572,0,0.999989182461458,9.34656260624992e-06,9.34656260624992e-06,747.607416623355,-1464.40348140725,108
-1450,300,1755922.92379646,1755922.92379646,0,0.999997941288632,2.64498325956633e-06,2.64498325956633e-06,747.613873599391,-1470.32988886422,108
-1450,350,1755926.48193756,1755926.48193756,0,0.999999967901424,9.84311012552043e-08,9.84311012552043e-08,747.615369651017,-1477.25150125288,108
-1400,0,1755161.75759644,1755161.75759644,0,0.99956277263598,0.000418047186493051,2.77478715923546e-08,747.308352379094,-1400,108
-1400,50,1755182.65478744,1755182.65478744,0,0.999574761887639,0.000407396515661565,4.34547625665438e-07,747.316517613538,-1400.79544882142,108
-1400,100,1755245.3304601,1755245.3304601,0,0.999610688031333,0.000376519953246161,3.51875224805503e-06,747.341201833325,-1402.72013096102,108
-1400,150,1755349.68934632,1755349.68934631,0,0.999670426952686,0.000328555195595968,5.46403894438762e-06,747.382824198969,-1405.68270317785,108
-1400,200,1755495.47640415,1755495.47640415,0,0.999753774163804,0.000268435076717898,7.55899232068387e-06,747.44170659287,-1409.67933738346,108
-1400,250,1755589.58118964,1755589.58118964,0,0.999807653070317,0.000202438457136298,9.87400635732149e-06,747.478634555783,-1414.70489908323,108
-1400,300,1755674.57617624,1755674.57617624,0,0.999856275614399,0.000137552834326726,1.03947023645183e-05,747.51210694575,-1420.75298002507,108
-1400,350,1755774.53872691,1755774.53872691,0,0.999913342546989,8.06391028543954e-05,7.99787312140608e-06,747.552633581659,-1427.81593844014,108
-1400,400,1755869.80640951,1755869.80640951,0,0.999967665747997,3.73847494903481e-05,6.94544074760426e-06,747.591940011002,-1435.88494629523,108
-1400,450,1755903.88304204,1755903.88304204,0,0.999987094695612,1.10264360801592e-05,1.10264360801592e-05,747.605883043762,-1444.95004289074,108
-1400,500,1755924.75062822,1755924.75062822,0,0.99999898189067,8.15956933300037e-07,8.15956933300037e-07,747.614636051447,-1455.00019406826,108
-1350,0,1753389.99977594,1753389.99977594,0,0.998542160197877,0.00141657667527046,6.59480731297117e-08,746.628000201229,-1350,204
