x,y,J,J_lower,P_H,P_N,P_A,P20,E_radius,safe_margin,angle_calls
-1450,0,1755921.74348874,1755921.74348874,0,0.9999972667539,2.87217077430721e-06,2.4643380234291e-09,747.613414679587,-1450,108
-1450,50,1755922.03394335,1755922.03394335,0,0.999997432440192,2.67764097729676e-06,2.47527269087896e-08,747.613532938159,-1450.77611311137,108
-1450,100,1755922.7896782,1755922.7896782,0,0.99999786351064,2.15260745028046e-06,7.37786444918857e-08,747.613840660798,-1452.66157413553,108
-1450,150,1755923.88302607,1755923.88302607,0,0.999998486928555,1.45274345612475e-06,1.45274345612475e-06,747.614289116075,-1455.56389407499,108
-1450,200,1755925.08090697,1755925.08090696,0,0.999999169677262,7.75918892945074e-07,7.75918892945074e-07,747.614784760405,-1459.4794730854,108
-1450,250,1755926.056578,1755926.05657799,0,0.999999725587301,2.87519164164923e-07,2.87519164164923e-07,747.615191711983,-1464.40348140725,108
-1450,300,1755926.44634395,1755926.44634395,0,0.999999947626563,5.12257229569873e-08,5.12257229569873e-08,747.61535468736,-1470.32988886422,108
-1450,350,1755926.53827663,1755926.53827663,0,0.999999999987098,5.02819510212665e-10,5.02819510212665e-10,747.615393461159,-1477.25150125288,108
-1400,0,1755843.53326124,1755843.53326124,0,0.999952535802117,4.78107406590331e-05,7.33467601327609e-10,747.582178277398,-1400,108
-1400,50,1755846.51406881,1755846.51406881,0,0.999954244947909,4.61722623148839e-05,5.38792366402428e-08,747.583346312898,-1400.79544882142,108
-1400,100,1755854.95866683,1755854.95866683,0,0.999959084888459,4.15084303768314e-05,4.7645002066595e-07,747.586664387971,-1402.72013096102,108
-1400,150,1755867.37985552,1755867.37985552,0,0.999966198104214,3.45305029437074e-05,7.02756148841824e-07,747.591575126361,-1405.68270317785,108
-1400,200,1755881.31232504,1755881.31232504,0,0.99997417176634,2.62842470004005e-05,8.02007534586657e-07,747.597100928837,-1409.67933738346,108
-1400,250,1755894.62100321,1755894.62100321,0,0.999981783228302,1.79596660645445e-05,8.20774924229931e-07,747.602398365516,-1414.70489908323,108
-1400,300,1755907.35674194,1755907.35674194,0,0.999989058146184,1.06628873034665e-05,8.6432799781862e-07,747.607535468948,-1420.75298002507,108
-1400,350,1755917.62745967,1755917.62745967,0,0.99999491925822,5.18812500370984e-06,5.10010617111163e-07,747.611725189019,-1427.81593844014,108
-1400,400,1755923.29627384,1755923.29627384,0,0.999998152417826,1.83812122834414e-06,3.41501833673319e-07,747.614047533767,-1435.88494629523,108
-1400,450,1755925.91761073,1755925.91761073,0,0.999999646417938,3.51949775083137e-07,3.51949775083137e-07,747.615133517387,-1444.95004289074,108
-1400,500,1755926.51580804,1755926.51580804,0,0.999999987190868,9.84473963060561e-09,9.84473963060561e-09,747.615383938624,-1455.00019406826,108
-1350,0,1755503.91105206,1755503.91105206,0,0.999757024206764,0.000243917809621694,6.59064394408074e-09,747.451405287028,-1350,108
-1350,50,1755513.94251151,1755513.94251151,0,0.999762852608648,0.000238242389496481,3.32373503739399e-07,747.455076453323,-1350.81560688328,108
