x,y,J,J_lower,P_H,P_N,P_A,P20,E_radius,safe_margin,angle_calls
-1450,0,1755792.07681427,1755792.07681427,0,0.999923344300441,8.82248511207119e-05,1.23641219957836e-07,747.560069197075,-1450,108
-1450,50,1755805.33666333,1755805.33666333,0,0.999930902835101,8.37963469477268e-05,9.20354621666333e-07,747.565581368199,-1450.77611311137,108
-1450,100,1755821.44857557,1755821.44857557,0,0.999940096708027,7.13861689339249e-05,2.52324014981327e-06,747.572083299436,-1452.66157413553,108
-1450,150,1755838.38743405,1755838.38743405,0,0.999949765188966,5.34797924160623e-05,5.34797924160623e-05,747.57882557988,-1455.56389407499,108
-1450,200,1755862.29420507,1755862.29420507,0,0.999963398289779,3.37450997924219e-05,3.37450997924219e-05,747.588553934118,-1459.4794730854,108
-1450,250,1755893.34315869,1755893.34315869,0,0.999981091259558,1.62988223624963e-05,1.62988223624963e-05,747.601449720102,-1464.40348140725,108
-1450,300,1755920.2204575,1755920.2204575,0,0.999996401547427,4.63553295220358e-06,4.63553295220358e-06,747.61273695529,-1470.32988886422,108
-1450,350,1755926.43870078,1755926.43870077,0,0.999999943277637,1.73585046208289e-07,1.73585046208289e-07,747.615351378194,-1477.25150125288,108
-1400,0,1754638.53662421,1754638.53662421,0,0.999263653331418,0.000702180931862871,4.84797683876935e-08,747.098207810832,-1400,108
-1400,50,1754673.18353971,1754673.18353971,0,0.999283531933289,0.000684613956506983,7.26687247074062e-07,747.111742965946,-1400.79544882142,108
-1400,100,1754777.47823321,1754777.47823321,0,0.999343314829682,0.000633620732507595,5.85353245713941e-06,747.152824390248,-1402.72013096102,108
-1400,150,1754952.39365871,1754952.39365871,0,0.999443440749675,0.000554201098625056,9.11803122063644e-06,747.222620676283,-1405.68270317785,108
-1400,200,1755199.37101924,1755199.37101924,0,0.99958463253287,0.000454270974199713,1.27445633693575e-05,747.322450978831,-1409.67933738346,108
-1400,250,1755355.48185746,1755355.48185746,0,0.999674018862968,0.000344014605131229,1.68218057534331e-05,747.383653429002,-1414.70489908323,108
-1400,300,1755495.93138121,1755495.93138121,0,0.999754373172054,0.000234933079581296,1.69505851319261e-05,747.438871412032,-1420.75298002507,132
-1400,350,1755664.72690796,1755664.72690796,0,0.999850737428671,0.000138543096828402,1.37443479541765e-05,747.507284400324,-1427.81593844014,108
-1400,400,1755828.75622209,1755828.75622209,0,0.999944269100315,6.46646046666802e-05,1.20135584840465e-05,747.574973844341,-1435.88494629523,108
-1400,450,1755886.97286316,1755886.97286315,0,0.999977462019209,1.92184490704736e-05,1.92184490704736e-05,747.598783873092,-1444.95004289074,108
-1400,500,1755923.39596107,1755923.39596106,0,0.999998210384478,1.43459855908493e-06,1.43459855908493e-06,747.614062093947,-1455.00019406826,108
-1350,0,1751767.70263301,1751767.70263301,0,0.99760982664497,0.00231652037148691,1.14814802912725e-07,745.996087342136,-1350,204
-1350,50,1751840.63652969,1751840.63652969,0,0.997652354080473,0.00227783873018272,1.93246734040454e-06,746.022298330622,-1350.81560688328,108
-1350,100,1752060.89227607,1752060.89227607,0,0.997780270485365,0.00216425770490547,5.51964691272093e-06,746.103327532027,-1352.78117516477,132
-1350,150,1752431.61373069,1752431.61373068,0,0.997994572231322,0.00198306443064579,1.20785729119255e-05,746.243687291086,-1355.80654953955,156
-1350,200,1752956.50250037,1752956.50250037,0,0.998296900436848,0.00174604917383783,2.07480889667618e-05,746.446962084339,-1359.88765399906,180
-1350,250,1753528.12857075,1753528.12857075,0,0.998625696859266,0.00146895029724791,2.60216870266551e-05,746.669271073815,-1365.01902320909,180
-1350,300,1753893.63873508,1753893.63873508,0,0.99883668401203,0.00117063155996276,2.74878405278405e-05,746.804655095916,-1371.1938387202,156
-1350,350,1754334.53405856,1754334.53405856,0,0.999090013006656,0.000871944942629855,3.3650844005831e-05,746.974390237021,-1378.40397355629,156
-1350,400,1754854.18754505,1754854.18754505,0,0.99938755223427,0.000594216909765012,3.78301053134205e-05,747.180959816349,-1386.6400445128,180
-1350,450,1755346.97670605,1755346.97670605,0,0.999669192717767,0.000357278861341468,3.17358636415023e-05,747.379984645368,-1395.89147139761,108
-1350,500,1755590.79328834,1755590.79328834,0,0.99980856025326,0.000176942519110634,2.67797368532304e-05,747.476963116457,-1406.14654237009,180
-1350,550,1755832.69436787,1755832.69436787,0,0.999946515709855,6.17967651894736e-05,1.60533823761951e-05,747.576565228515,-1417.39248447646,108
-1350,600,1755911.86490321,1755911.86490321,0,0.999991641977865,9.17204095136794e-06,9.17204095136794e-06,747.609232421227,-1429.61553844368,108
-1300,0,1746606.56334583,1746606.56334583,0,0.994601704329477,0.00534988330783993,6.20378262023383e-08,744.099693496466,-1300,300
-1300,50,1746737.99324764,1746737.99324764,0,0.994680849389731,0.00528284912694342,1.81944029627381e-06,744.141665296505,-1300.83664088747,108
-1300,100,1747138.34813845,1747138.34813845,0,0.994918934023925,0.00508488175043388,4.91875568992181e-06,744.277150419715,-1302.84486856889,108
-1300,150,1747817.41510845,1747817.41510845,0,0.995317894842989,0.00476530255584317,8.12093256692904e-06,744.520445578681,-1305.93576001974,108
-1300,200,1748783.58939915,1748783.58939915,0,0.995880920862181,0.00433936009627899,2.83687614544927e-05,744.879810344938,-1310.1049694725,132
-1300,250,1749447.3669262,1749447.3669262,0,0.996271143770259,0.00382777604704445,3.38827511121746e-05,745.108088160461,-1315.34667180214,180
-1300,300,1750219.95425305,1750219.95425305,0,0.996721950984387,0.00325606232034243,3.6786277495295e-05,745.383692934675,-1321.65360277303,156
-1300,350,1751155.54925539,1751155.54925539,0,0.997263761460151,0.00265356126031576,4.65568149744894e-05,745.732457640803,-1329.01710854874,132
-1300,400,1752261.84090073,1752261.84090072,0,0.997900810763337,0.00205214557158721,4.66620490858876e-05,746.159764738794,-1337.42720369137,156
-1300,450,1753529.42914962,1753529.42914962,0,0.998627826266116,0.00148449775575917,4.42409615413563e-05,746.66305779636,-1346.87263676582,180
-1300,500,1754170.23568608,1754170.23568608,0,0.9989962172241,0.000981869404436621,5.60350854176387e-05,746.907600474959,-1357.34096257709,156
-1300,550,1754896.4527685,1754896.4527685,0,0.99941187329323,0.000571197389047179,5.45886466196935e-05,747.196781868382,-1368.81862000611,156
-1300,600,1755453.10852829,1755453.10852828,0,0.999729930181762,0.000271424885829278,2.93639904483141e-05,747.421509303678,-1381.29101437253,108
