name,level,x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls
area,2,932.613165370033,589.9650426827,2103.68772462922,2103.68772462922,0.0,0.000672440547258158,0.999325259053109,0.0,25.1271370141147,-99.3767869422759,252.0
area,3,932.613165370033,589.9650426827,2103.77989519651,2103.7798951965,0.0,0.000672440547258159,0.99932757475426,0.0,25.1279267567407,-99.3767869422759,630.0
area,4,932.613165370033,589.9650426827,2103.78332728975,2103.78332728975,0.0,0.000672440547258159,0.999327559396286,0.0,25.1279549957526,-99.3767869422759,1512.0
area,5,932.613165370033,589.9650426827,2103.78339450538,2103.78339450538,0.0,0.00067244054725816,0.999327559452553,0.0,25.1279555513039,-99.3767869422759,3090.0
area,6,932.613165370033,589.9650426827,2103.78339484829,2103.78339484829,0.0,0.00067244054725816,0.999327559452747,0.0,25.1279555541383,-99.3767869422759,7434.0
radius,2,906.618820480172,572.789605795575,2118.21505697881,2118.2150569788,0.0,0.000226374096173971,0.999767994100631,0.0,25.0762430023333,-68.2255269117647,252.0
radius,3,906.618820480172,572.789605795575,2118.14954017458,2118.14954017457,0.0,0.000226374096173972,0.999773628454017,0.0,25.0757161434744,-68.2255269117647,630.0
radius,4,906.618820480172,572.789605795575,2118.15017552519,2118.15017552518,0.0,0.000226374096173972,0.999773625882978,0.0,25.0757215504133,-68.2255269117647,1512.0
radius,5,906.618820480172,572.789605795575,2118.15022207513,2118.15022207512,0.0,0.000226374096173972,0.999773625904954,0.0,25.075721946345,-68.2255269117647,3150.0
radius,6,906.618820480172,572.789605795575,2118.15022026671,2118.15022026671,0.0,0.000226374096173972,0.999773625903828,0.0,25.0757219309656,-68.2255269117647,7686.0
