x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls
895,590,2124.16936058886,2124.16936058886,0,0.000228452408665974,0.999771561294758,0,25.0894938098974,-67.8503323623261,630
895,595,2123.2232206556,2123.22322065559,0,0.000257609363223646,0.999742393638015,0,25.0940817346447,-70.6214106520811,630
895,600,2122.54211752257,2122.54211752256,0,0.000289476826136006,0.999710547365075,0,25.0999391953414,-73.4086256253831,630
895,605,2122.12749937895,2122.12749937895,0,0.000324228277164665,0.999675774512593,0,25.1070499435865,-76.2118519080227,630
895,610,2121.98327402544,2121.98327402544,0,0.000362044726290883,0.999637975436619,0,25.1154111082484,-79.0309647121428,558
895,615,2122.11480693162,2122.11480693161,0,0.000403114988323087,0.999596903762236,0,25.1250224443185,-81.8658398470393,558
895,620,2122.5300527705,2122.5300527705,0,0.000447635969246441,0.999552366180211,0,25.1358959442257,-84.7163537295185,558
895,625,2123.23713639885,2123.23713639884,0,0.000495812964996479,0.999504213481407,0,25.1480345459559,-87.5823833938207,558
895,630,2124.2472696544,2124.24726965439,0,0.000547859973388397,0.999452146511567,0,25.161454456978,-90.4638065011168,630
900,575,2123.354833568,2123.354833568,0,0.000188368675202253,0.999811617015692,0,25.0782438325384,-63.8382029616191,594
900,580,2121.7256299611,2121.7256299611,0,0.000213228543467033,0.999786773518763,0,25.0792236655194,-66.5493869019515,594
900,585,2120.36361409054,2120.36361409053,0,0.000240468899059321,0.999759527744794,0,25.0815040612103,-69.2770769642686,594
900,590,2119.26975583869,2119.26975583868,0,0.00027024562214984,0.999729743021413,0,25.0850800621873,-72.021147152225,630
900,595,2118.44478251268,2118.44478251268,0,0.000302721413764257,0.999697284756209,0,25.0899377886924,-74.781472003446,630
900,600,2117.89252876086,2117.89252876086,0,0.000338066040030795,0.999661915749614,0,25.0960817553838,-77.5579266017285,666
900,605,2117.61532371332,2117.61532371332,0,0.000376456586441419,0.999623542865096,0,25.1034963261258,-80.3503865887853,666
900,610,2117.61875005679,2117.61875005678,0,0.000418077722685253,0.999581917289122,0,25.1121837674857,-83.158728175543,594
900,615,2117.91140673467,2117.91140673467,0,0.000463121978651944,0.99953685460035,0,25.1221623004397,-85.9828281529969,594
900,620,2118.50069933965,2118.50069933964,0,0.00051179003224496,0.999488210646082,0,25.1334298212189,-88.8225639026332,594
900,625,2119.39615925457,2119.39615925457,0,0.000564291009690746,0.999435689955954,0,25.1459897665465,-91.6778134064214,594
900,630,2120.61018785693,2120.61018785693,0,0.000620842799079469,0.999379147399469,0,25.1598578308764,-94.5484552563889,630
900,635,2122.15693639125,2122.15693639124,0,0.00068167237792727,0.99931831623856,0,25.1750498267525,-97.4343686637799,630
900,640,2124.05295029821,2124.0529502982,0,0.000747016155608911,0.999252965057196,0,25.1915866691391,-100.335433467809,630
905,565,2122.62785262275,2122.62785262274,0,0.00017660864610939,0.999823407269495,0,25.0776056150658,-62.6970332391097,594
905,570,2120.55505609038,2120.55505609037,0,0.000199897047012462,0.999800085336066,0,25.0761182610765,-65.3641898785256,630
905,575,2118.75651167946,2118.75651167946,0,0.000225415830054619,0.999774589937759,0,25.0759749968373,-68.0480933440447,630
905,580,2117.2311587737,2117.2311587737,0,0.000253311275721178,0.999746683521288,0,25.0771599444829,-70.7486177045344,630
905,585,2115.98107962608,2115.98107962607,0,0.000283736072772345,0.999716257112929,0,25.0796781009982,-73.4656375201271,630
905,590,2115.00619965691,2115.0061996569,0,0.000316849545105283,0.999683159728867,0,25.0835091365188,-76.1990278553565,630
905,595,2114.30829840363,2114.30829840363,0,0.000352817887669899,0.999647168011928,0,25.0886407847132,-78.9486642918357,666
905,600,2113.89138834363,2113.89138834362,0,0.000391814411930357,0.999608193052572,0,25.0950722085101,-81.7144229404812,666
905,605,2113.76035307865,2113.76035307864,0,0.000434019801397872,0.99956598291757,0,25.1028004400215,-84.4961804532925,594
905,610,2113.92184808359,2113.92184808358,0,0.000479622377796609,0.999520363230239,0,25.1118282806762,-87.2938140346896,594
905,615,2114.38661639235,2114.38661639235,0,0.00052881837846376,0.999471193437758,0,25.1221825072617,-90.1072014524186,594
905,620,2115.16309834648,2115.16309834647,0,0.000581812245627462,0.999418182279651,0,25.1338585815161,-92.936221048029,594
905,625,2116.26228982724,2116.26228982724,0,0.00063881692825232,0.999361185581741,0,25.1468618727205,-95.7807517469303,558
905,630,2117.6979910984,2117.6979910984,0,0.000700054197192463,0.999299952697337,0,25.1612070925194,-98.6406730680371,594
905,635,2119.48628604767,2119.48628604767,0,0.000765754974446527,0.999234243207261,0,25.1769133337375,-101.515865133005,594
905,640,2121.64579804738,2121.64579804737,0,0.000836159677368243,0.999163851322731,0,25.1940049235948,-104.406208675066,630
905,645,2124.19751146769,2124.19751146768,0,0.000911518578750958,0.999088482890647,0,25.2125076933757,-107.311585047477,630
910,555,2123.26981637583,2123.26981637582,0,0.000166387931542223,0.999833609473515,0,25.0846101441594,-61.6723820604,630
910,560,2120.72834173942,2120.72834173941,0,0.000188269138835201,0.999811745382451,0,25.0805277153241,-64.2951279838339,630
910,565,2118.46993689855,2118.46993689854,0,0.000212243170658553,0.99978774012768,0,25.0778379470663,-66.9348584006652,630
910,570,2116.49033213041,2116.49033213041,0,0.000238447383733459,0.999761564798975,0,25.0765049556698,-69.5914475587253,594
910,575,2114.7955293252,2114.79552932519,0,0.000267025160571183,0.999732971143664,0,25.0765732856038,-72.2647701529186,630
910,580,2113.37818130094,2113.37818130094,0,0.000298126120593766,0.999701875642322,0,25.0779685076395,-74.9547013392764,630
910,585,2112.2437209349,2112.24372093489,0,0.000331906339462155,0.999668108629061,0,25.0807173889282,-77.6611167485514,594
910,590,2111.3939650106,2111.3939650106,0,0.00036852857704644,0.999631464209974,0,25.0848085083587,-80.3838924993545,594
910,595,2110.83108692233,2110.83108692233,0,0.000408162514501753,0.999591855461072,0,25.0902260693514,-83.122905210844,630
910,600,2110.55972886969,2110.55972886968,0,0.000450985000944623,0.999549027169633,0,25.0969657449454,-85.8780320149683,666
910,605,2110.58632351408,2110.58632351407,0,0.000497180310258295,0.99950281589467,0,25.1050293013194,-88.6491505682729,594
910,610,2110.91901619881,2110.91901619881,0,0.000546940408591998,0.999453083287991,0,25.1144227938111,-91.436139063273,594
910,615,2111.56720420423,2111.56720420422,0,0.00060046523315865,0.999399542132833,0,25.1251509278365,-94.2388762394005,594
910,620,2112.54262437555,2112.54262437555,0,0.000657962982978248,0.999342049122426,0,25.1372266113915,-97.0572413935329,594
910,625,2113.86056912218,2113.86056912217,0,0.000719650422260637,0.999280367730804,0,25.1506785778654,-99.8911143901062,594
910,630,2115.53754487587,2115.53754487587,0,0.000785753197171725,0.999214252488743,0,25.1655312031085,-102.740375670825,630
910,635,2117.58905490827,2117.58905490826,0,0.000856506166782044,0.999143510369416,0,25.1817854040252,-105.604906263966,630
910,640,2120.03555271253,2120.03555271253,0,0.00093215374905614,0.999067851560073,0,25.1994654421358,-108.484587793297,630
910,645,2122.90049931884,2122.90049931883,0,0.00101295028280629,0.998987058901175,0,25.2186022663867,-111.379302486598,630
915,550,2122.32316404548,2122.32316404548,0,0.000178180051801392,0.999821817692576,0,25.092821161026,-63.3425514972698,594
915,555,2119.57562874965,2119.57562874964,0,0.000200769748982901,0.999799232237207,0,25.0874295900091,-65.9377347880345,594
915,560,2117.12174566923,2117.12174566923,0,0.000225455260261116,0.999774519500951,0,25.0834918020228,-68.5500114947208,630
915,565,2114.95719588469,2114.95719588469,0,0.000252371313260542,0.999747633029596,0,25.080971858694,-71.1792565605858,630
915,570,2113.07955110355,2113.07955110355,0,0.000281658503029293,0.999718325069536,0,25.0798433117764,-73.8253453453274,630
915,575,2111.4888149463,2111.4888149463,0,0.000313463496328456,0.99968653113386,0,25.0800947289432,-76.4881536395715,630
915,580,2110.18570566513,2110.18570566513,0,0.000347939243765681,0.999652062798564,0,25.0817134584273,-79.1675576789062,630
915,585,2109.17216838718,2109.17216838717,0,0.000385245200183118,0.999614734858999,0,25.0846899156221,-81.8634341574621,630
915,590,2108.45178878309,2108.45178878308,0,0.000425547553736789,0.999574459789613,0,25.0890208239739,-84.5756602410452,630
915,595,2108.03031379703,2108.03031379703,0,0.000469019464133554,0.999530979007543,0,25.0947117608248,-87.3041135798305,666
915,600,2107.91597919782,2107.91597919781,0,0.00051584131052324,0.999484140779684,0,25.1017802685086,-90.0486723206184,666
915,605,2108.11331999703,2108.11331999702,0,0.000566200949577406,0.999433808484007,0,25.110203101748,-92.8092151186613,594
915,610,2108.63144028282,2108.63144028281,0,0.000620293984322893,0.999379698726002,0,25.1199836495504,-95.5856211490668,594
915,615,2109.4817551352,2109.4817551352,0,0.000678324044338032,0.999321669975851,0,25.1311334395432,-98.3777701177808,594
915,620,2110.67740610044,2110.67740610044,0,0.000740503077962404,0.999259498617792,0,25.1436650621959,-101.18554227216,594
915,625,2112.23360452959,2112.23360452958,0,0.000807051657217708,0.999192936052595,0,25.1575941504125,-104.008818411136,594
915,630,2114.16808649137,2114.16808649137,0,0.000878199296188009,0.999121798434845,0,25.1729423727344,-106.847479894983,630
915,635,2116.50080344587,2116.50080344587,0,0.000954184783662726,0.999045804626777,0,25.1897325339403,-109.701408654687,630
915,640,2119.25461413274,2119.25461413274,0,0.00103525653090566,0.99896473533121,0,25.2079937158381,-112.570487200931,630
915,645,2122.45814246175,2122.45814246174,0,0.00112167293547879,0.998878321600645,0,25.2277822018072,-115.454598632701,630
920,545,2122.16517916209,2122.16517916209,0,0.000190837627818452,0.99980917950512,0,25.1052129328456,-65.0570486221122,630
920,550,2119.20352137033,2119.20352137032,0,0.000214161173746469,0.999785847132284,0,25.0984880097243,-67.6246481980295,630
920,555,2116.54063745462,2116.54063745462,0,0.000239583939476866,0.999760404909626,0,25.0932288002619,-70.2094477532369,630
920,560,2114.174145396,2114.174145396,0,0.000267238123589067,0.999732778063631,0,25.0894165217133,-72.8113229643925,630
920,565,2112.1021303266,2112.1021303266,0,0.000297261639311124,0.999702730279882,0,25.0870298168628,-75.4301498939537,630
920,570,2110.32732813704,2110.32732813703,0,0.000329798312276838,0.999670210553029,0,25.0860809015591,-78.0658050050813,630
920,575,2108.84928989687,2108.84928989687,0,0.000364998085784453,0.999635011867616,0,25.0865476902586,-80.7181651760905,630
920,580,2107.66780841988,2107.66780841988,0,0.000403017233944167,0.999596971315803,0,25.0884031253283,-83.3871077144574,630
920,585,2106.78623045128,2106.78623045127,0,0.000444018583126862,0.999555998636848,0,25.091642532893,-86.0725103703801,630
920,590,2106.20867965821,2106.20867965821,0,0.000488171742153574,0.999511833058502,0,25.0962586439464,-88.7742513499027,630
920,595,2105.94117436962,2105.94117436961,0,0.00053565334169449,0.999464334971462,0,25.1022514274751,-91.4922093276082,666
920,600,2105.99132187955,2105.99132187955,0,0.000586647283377786,0.999413368178325,0,25.1096242652426,-94.2262634588812,666
920,605,2106.36793714781,2106.36793714781,0,0.000641344999142755,0.999358653697097,0,25.1183792525807,-96.9762933917518,594
920,610,2107.08211813941,2107.0821181394,0,0.00069994572140855,0.99930005148211,0,25.1285265370015,-99.74217927832,594
920,615,2108.15004916213,2108.15004916212,0,0.000762656764669793,0.999237350452581,0,25.1401053270332,-102.523801785771,594
920,620,2109.58543281988,2109.58543281988,0,0.00082969381917358,0.999170299342915,0,25.1531204112719,-105.321042106985,594
920,625,2111.40333579238,2111.40333579237,0,0.000901281257379329,0.999098719701637,0,25.1675735453185,-108.133781970748,558
920,630,2113.62321791228,2113.62321791227,0,0.000977652453953924,0.999022343269057,0,25.1834860510606,-110.961903651568,594
920,635,2116.26735626571,2116.26735626571,0,0.00105905012010998,0.998940945466703,0,25.2008851329446,-113.805289979105,630
920,640,2119.36079985873,2119.36079985872,0,0.0011457266531554,0.998854273061797,0,25.219801469906,-116.66382434722,630
920,645,2122.93162577689,2122.93162577689,0,0.00123794450218802,0.998762045996566,0,25.2402695782529,-119.537390722651,630
925,540,2122.81906786467,2122.81906786466,0,0.000204413906130013,0.999795617925319,0,25.1218593852179,-66.8156597156626,630
925,545,2119.62886506675,2119.62886506675,0,0.000228496604172378,0.999771513397483,0,25.1137266015166,-69.3556585322242,630
925,550,2116.74916859978,2116.74916859978,0,0.000254682306622546,0.999745318321027,0,25.1071247754208,-71.9129615109655,630
925,555,2114.17418864815,2114.17418864815,0,0.000283100778661865,0.999716921504306,0,25.1020067997482,-74.4874450990715,630
925,560,2111.90183396971,2111.9018339697,0,0.000313887352694137,0.99968610913682,0,25.0983506459079,-77.0789860989082,630
925,565,2109.93171166818,2109.93171166817,0,0.000347183119852591,0.999652834920762,0,25.0961428432325,-79.6874616833215,630
925,570,2108.2639418729,2108.2639418729,0,0.000383135128684945,0.999616876722471,0,25.0953668721334,-82.3127494104908,630
925,575,2106.90016523919,2106.90016523918,0,0.000421896591382466,0.99957809582691,0,25.0960120310094,-84.9547272383386,630
925,580,2105.84347049949,2105.84347049949,0,0.000463627097942397,0.999536396513615,0,25.0980721308707,-87.6132735385036,630
925,585,2105.09798425775,2105.09798425775,0,0.000508492838678471,0.999491515915278,0,25.1015406663847,-90.2882671098785,630
925,590,2104.67485187466,2104.67485187465,0,0.000556666835521462,0.999443326100561,0,25.1064610432865,-92.9795871917204,594
925,595,2104.57581841285,2104.57581841285,0,0.000608329182581158,0.999391691030941,0,25.1127886272427,-95.687113476336,630
925,600,2104.80942241633,2104.80942241632,0,0.000663667296472844,0.99933633675525,0,25.1205243179095,-98.410726121348,594
925,605,2105.38643861609,2105.38643861609,0,0.000722876176945726,0.999277124070502,0,25.1296767970157,-101.150305761547,594
