x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls
-1450,0,1755848.37931454,1755848.37931454,0,0.999955442131074,5.11639075291928e-05,0,747.583232311698,-1450,108
-1450,50,1755856.00772949,1755856.00772949,0,0.999959790620833,4.85738352001649e-05,0,747.586402394817,-1450.77611311137,108
-1450,100,1755865.45184381,1755865.45184381,0,0.999965179601786,4.13242996830502e-05,0,747.590214741913,-1452.66157413553,108
-1450,150,1755875.51043125,1755875.51043125,0,0.999970920630544,3.08891541500823e-05,0,747.594224183757,-1455.56389407499,108
-1450,200,1755889.55678672,1755889.55678672,0,0.999978930565606,1.94295686501645e-05,0,747.599943607758,-1459.4794730854,108
-1450,250,1755907.54763572,1755907.54763572,0,0.999989182461458,9.34656260624992e-06,0,747.607416623355,-1464.40348140725,108
-1450,300,1755922.92379646,1755922.92379646,0,0.999997941288632,2.64498325956633e-06,0,747.613873599391,-1470.32988886422,108
-1450,350,1755926.48193756,1755926.48193756,0,0.999999967901424,9.84311012552043e-08,0,747.615369651017,-1477.25150125288,108
-1400,0,1755161.75759644,1755161.75759644,0,0.99956277263598,0.000418047186493051,0,747.308352379094,-1400,108
-1400,50,1755182.65478744,1755182.65478744,0,0.999574761887639,0.000407396515661565,0,747.316517613538,-1400.79544882142,108
-1400,100,1755245.3304601,1755245.3304601,0,0.999610688031333,0.000376519953246161,0,747.341201833325,-1402.72013096102,108
-1400,150,1755349.68934632,1755349.68934631,0,0.999670426952686,0.000328555195595968,0,747.382824198969,-1405.68270317785,108
-1400,200,1755495.47640415,1755495.47640415,0,0.999753774163804,0.000268435076717898,0,747.44170659287,-1409.67933738346,108
-1400,250,1755589.58118964,1755589.58118964,0,0.999807653070317,0.000202438457136298,0,747.478634555783,-1414.70489908323,108
-1400,300,1755674.57617624,1755674.57617624,0,0.999856275614399,0.000137552834326726,0,747.51210694575,-1420.75298002507,108
-1400,350,1755774.53872691,1755774.53872691,0,0.999913342546989,8.06391028543954e-05,0,747.552633581659,-1427.81593844014,108
-1400,400,1755869.80640951,1755869.80640951,0,0.999967665747997,3.73847494903481e-05,0,747.591940011002,-1435.88494629523,108
-1400,450,1755903.88304204,1755903.88304204,0,0.999987094695612,1.10264360801592e-05,0,747.605883043762,-1444.95004289074,108
-1400,500,1755924.75062822,1755924.75062822,0,0.99999898189067,8.15956933300037e-07,0,747.614636051447,-1455.00019406826,108
-1350,0,1753389.99977594,1753389.99977594,0,0.998542160197877,0.00141657667527046,0,746.628000201229,-1350,204
-1350,50,1753435.62083755,1753435.62083755,0,0.9985687525648,0.0013922266483493,0,746.644424185008,-1350.81560688328,108
-1350,100,1753572.84322415,1753572.84322415,0,0.998648435150722,0.00132082829712522,0,746.694926810478,-1352.78117516477,108
-1350,150,1753802.04240656,1753802.04240656,0,0.998780926086821,0.00120724728378476,0,746.781662428621,-1355.80654953955,108
-1350,200,1754122.916354,1754122.916354,0,0.998965761108459,0.00105929362909854,0,746.905775056337,-1359.88765399906,108
-1350,250,1754471.49344176,1754471.49344176,0,0.999166273320699,0.000887268996834866,0,747.041204113821,-1365.01902320909,108
-1350,300,1754703.84988024,1754703.84988024,0,0.999300327008175,0.000703325309379699,0,747.127734677173,-1371.1938387202,108
-1350,350,1754977.67502687,1754977.67502687,0,0.999457628017106,0.000520626157187345,0,747.233380061138,-1378.40397355629,108
-1350,400,1755292.08990343,1755292.08990343,0,0.999637647788505,0.000352298601137328,0,747.358389544457,-1386.6400445128,108
-1350,450,1755584.48181272,1755584.48181272,0,0.999804759510446,0.000210157914998698,0,747.476432214695,-1395.89147139761,108
-1350,500,1755731.13432362,1755731.13432362,0,0.999888581599588,0.000103181146057019,0,747.534831727156,-1406.14654237009,108
-1350,550,1755872.14787454,1755872.14787454,0,0.999969001449782,3.56965079712522e-05,0,747.592887025995,-1417.39248447646,108
-1350,600,1755918.1569396,1755918.1569396,0,0.999995225944922,5.24375100881275e-06,0,747.611874357876,-1429.61553844368,108
-1300,0,1750077.06335991,1750077.06335991,0,0.996611787837795,0.0033625705148556,0,745.40928041193,-1300,300
-1300,50,1750161.46616276,1750161.46616276,0,0.996662571859408,0.00331867374736167,0,745.436309507727,-1300.83664088747,108
-1300,100,1750417.38651091,1750417.38651091,0,0.996814740196951,0.00318923544367884,0,745.522854330855,-1302.84486856889,108
-1300,150,1750847.97325133,1750847.97325133,0,0.99706774499238,0.00298092071001131,0,745.676818536402,-1305.93576001974,108
-1300,200,1751453.44604463,1751453.44604463,0,0.997420684088406,0.0027045342700125,0,745.901363445576,-1310.1049694725,108
-1300,250,1751896.23399848,1751896.23399848,0,0.997680571842809,0.00237456180275371,0,746.055285913359,-1315.34667180214,108
-1300,300,1752406.35459622,1752406.35459622,0,0.997977895564009,0.0020085214364679,0,746.238700743368,-1321.65360277303,108
-1300,350,1753008.99524033,1753008.99524032,0,0.998326721247564,0.00162611803192412,0,746.464106885245,-1329.01710854874,108
-1300,400,1753702.19189908,1753702.19189908,0,0.998725850672006,0.00124818932481852,0,746.731988508886,-1337.42720369137,108
