x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls,x_global,y_global,C1
-368.75,-1196,1694837.56925369,1694837.56925368,0,0.965151715073297,0.0350617649123081,0,722.619649666709,0,132,2096,-368.75,27633.9434909301
-368.75,-1171,1679845.93397681,1679845.93397681,0,0.956598201222853,0.0432468442752829,0,716.489489491467,0,132,2071,-368.75,27633.9434909301
-368.75,-1146,1664356.96572801,1664356.96572801,0,0.947759006660525,0.0522546705606486,0,710.178695816046,0,132,2046,-368.75,27633.9434909301
-368.75,-1121,1647345.30605839,1647345.30605839,0,0.938050004850094,0.0620552923429781,0,703.251175618137,0,132,2021,-368.75,27633.9434909301
-368.75,-1096,1628281.53780937,1628281.53780937,0,0.927169490579058,0.0726154231687803,0,695.481963806832,0,132,1996,-368.75,27633.9434909301
-368.75,-1071,1609285.99114535,1609285.99114535,0,0.916324768995381,0.0838989945153527,0,687.774263008636,0,132,1971,-368.75,27633.9434909301
-368.75,-1046,1587851.5241697,1587851.5241697,0,0.904087776198519,0.095867598905948,0,679.061063243883,0,132,1946,-368.75,27633.9434909301
-368.75,-1021,1565496.90651985,1565496.90651985,0,0.891323176276203,0.108480850843108,0,669.989484081872,0,132,1921,-368.75,27633.9434909301
-368.75,-996,1543145.23552769,1543145.23552769,0,0.87855636502843,0.121696685221438,0,660.953074789923,0,132,1896,-368.75,27633.9434909301
-368.75,-971,1518472.77946329,1518472.77946329,0,0.864463630989311,0.135471607495105,0,650.963057303995,0,156,1871,-368.75,27633.9434909301
-368.75,-946,1493254.28510059,1493254.28510059,0,0.85005530103238,0.149760906165173,0,640.775733450226,0,156,1846,-368.75,27633.9434909301
-368.75,-921,1438796.82848392,1438796.82848392,0,0.835653550293748,0.164517537074981,0,624.37284698838,0,156,1821,-368.75,27633.9434909301
-368.75,-896,1314145.76291418,1314145.76291418,0,0.820581226126799,0.179622210154654,0,592.24755188609,0,180,1796,-368.75,27633.9434909301
-368.75,-871,1207642.85722924,1207642.85722924,0,0.805113794854474,0.194892718784135,0,563.357606695647,0,204,1771,-368.75,27633.9434909301
-368.75,-846,1115209.33033973,1115209.33033973,0,0.789674253638346,0.210196089461179,0,537.197588647875,0,204,1746,-368.75,27633.9434909301
-368.75,-821,1034132.81488028,1034132.81488028,0,0.774513600046593,0.225436182149539,0,513.410093977221,0,204,1721,-368.75,27633.9434909301
-368.75,-796,962182.540135312,962182.540135312,0,0.7595586455585,0.240539114014712,0,491.57753469564,0,204,1696,-368.75,27633.9434909301
-368.75,-771,897494.273310097,897494.273310096,0,0.7445369393134,0.255446119510539,0,471.263552487902,0,204,1671,-368.75,27633.9434909301
-368.75,-746,839410.937902275,839410.937902275,0,0.729845824931548,0.270109507294019,0,452.516811192886,0,204,1646,-368.75,27633.9434909301
-368.75,-721,787078.607793094,787078.607793093,0,0.715549473906882,0.284489505159026,0,435.210128059264,0,228,1621,-368.75,27633.9434909301
-368.75,-696,739513.700905171,739513.700905171,0,0.701422147066097,0.298553294701263,0,419.077818552374,0,180,1596,-368.75,27633.9434909301
-368.75,-671,696411.982505403,696411.982505402,0,0.687735673904617,0.312270974444469,0,404.171195890897,0,180,1571,-368.75,27633.9434909301
