x,y,worst_lower,worst_upper,normal_lower,no_signal_upper,worst_theta,safe_margin,calls,interval_splits,angle_bound_complete
5,0,745.1153919804418,1500,745.1153919804418,0,5.836922249971566e-05,4.999234649321465,63,0,0
5,1,741.0393760868136,1500,741.0393760868136,0,6.247551567429738,4.981192207247432,63,0,0
5,2,734.0872485103445,1500,734.0872485103445,0,6.246882798206954,4.962145104928595,63,0,0
5,5,713.9950229104048,1500,713.9950229104048,0,6.244876594102228,4.898976428619676,77,0,0
5,10,682.8549824849079,1500,682.8549824849079,0,6.241533301645454,4.773608078452412,77,0,0
5,15,654.3295838309604,1500,654.3295838309604,0,6.238190550172014,4.623139086730362,77,0,0
5,20,628.1038493040691,1500,628.1038493040691,0,6.234848414234542,4.447580834676728,77,0,0
5,25,603.911440219665,1500,603.911440219665,0,6.231506968303216,4.246946592529753,77,0,0
5,30,581.5256172480135,1500,581.5256172480135,0,6.228166286755838,4.021251514535038,77,0,0
5,40,541.4236671292969,1500,541.4236671292969,0,6.22148751380294,3.494748853063584,77,0,0
5,50,506.5405859949442,1500,506.5405859949442,0,6.214812688175758,2.868231529972491,109,0,0
30,0,732.6153488909009,1500,732.6153488909009,0,0.0003561704378120326,29.99528955235655,119,0,0
30,1,731.6494724452956,1500,731.6494724452956,0,6.247242397975454,29.97678218328656,119,0,0
30,2,724.7001322384358,1500,724.7001322384358,0,6.246562261357468,29.95724428437393,119,0,0
30,5,704.625224667239,1500,704.625224667239,0,6.244521960439423,29.89244804764598,91,0,0
30,10,673.5392104246348,1500,673.5392104246348,0,6.241121859724889,29.76385017905966,63,0,0
30,15,645.0922951929904,1500,645.0922951929904,0,6.23772232804831,29.60950618643471,63,0,0
30,20,618.963174121347,1500,618.963174121347,0,6.234323443820831,29.42942835252427,63,0,0
30,25,594.8806654117629,1500,594.8806654117629,0,6.230925285363901,29.22363099811673,63,0,0
30,30,572.6143032686375,1500,572.6143032686375,0,6.227527930898478,28.99213047635214,63,0,0
30,40,532.769087877089,1500,532.769087877089,0,6.220735946259058,28.45209546538615,63,0,0
30,50,498.1540009417934,1500,498.1540009417934,0,6.213948113252782,27.80949452571542,63,0,0
55,0,720.1152469493559,1500,720.1152469493559,0,6.282521032682428,54.99113573850696,119,0,0
55,1,720.1159042822052,1500,720.1159042822052,0,6.281829117685831,54.97213885215456,119,0,0
55,2,715.2865156772848,1500,715.2865156772848,0,6.246230635660941,54.95208419967082,119,0,0
55,5,695.2301046693032,1500,695.2301046693032,0,6.24415505939218,54.88557433654103,91,0,0
55,10,664.2005312723894,1500,664.2005312723894,0,6.240696187581497,54.75357622388083,63,0,0
55,15,635.834857722131,1500,635.834857722131,0,6.237237914836807,54.59515247386446,63,0,0
55,20,609.8052736589708,1500,609.8052736589708,0,6.233780323698491,54.41031636851687,63,0,0
55,25,585.8356346174545,1500,585.8356346174545,0,6.230323496609212,54.19908339298956,63,0,0
55,30,563.6916690945237,1500,563.6916690945237,0,6.226867515902163,53.96147122908678,63,0,0
