x,y
5,0
5,1
5,2
5,5
5,10
5,15
5,20
5,25
5,30
5,40
5,50
30,0
30,1
30,2
30,5
30,10
30,15
30,20
30,25
30,30
30,40
30,50
55,0
55,1
55,2
55,5
55,10
55,15
55,20
55,25
55,30
55,40
55,50
80,0
80,1
80,2
80,5
80,10
80,15
80,20
80,25
80,30
80,40
80,50
105,0
105,1
105,2
105,5
105,10
105,15
105,20
105,25
105,30
105,40
105,50
130,0
130,1
130,2
130,5
130,10
130,15
130,20
130,25
130,30
130,40
130,50
155,0
155,1
155,2
155,5
155,10
155,15
155,20
155,25
155,30
155,40
155,50
180,0
180,1
180,2
180,5
180,10
180,15
180,20
180,25
180,30
180,40
180,50
205,0
205,1
205,2
205,5
205,10
205,15
205,20
205,25
205,30
205,40
205,50
230,0
230,1
230,2
230,5
230,10
230,15
230,20
230,25
230,30
230,40
230,50
255,0
255,1
255,2
255,5
255,10
255,15
255,20
255,25
255,30
255,40
255,50
280,0
280,1
280,2
280,5
280,10
280,15
280,20
280,25
280,30
280,40
280,50
305,0
305,1
305,2
305,5
305,10
305,15
305,20
305,25
305,30
305,40
305,50
330,0
330,1
330,2
330,5
330,10
330,15
330,20
330,25
330,30
330,40
330,50
355,0
355,1
355,2
355,5
355,10
355,15
355,20
355,25
355,30
355,40
355,50
380,0
380,1
380,2
380,5
380,10
380,15
380,20
380,25
380,30
380,40
380,50
405,0
405,1
405,2
405,5
405,10
405,15
405,20
405,25
405,30
405,40
405,50
430,0
430,1
430,2
430,5
430,10
430,15
430,20
430,25
430,30
430,40
430,50
455,0
455,1
455,2
455,5
455,10
455,15
455,20
455,25
455,30
455,40
455,50
480,0
480,1
480,2
480,5
480,10
480,15
480,20
480,25
480,30
480,40
480,50
505,0
505,1
505,2
505,5
505,10
505,15
505,20
505,25
505,30
505,40
505,50
530,0
530,1
530,2
530,5
530,10
530,15
530,20
530,25
530,30
530,40
530,50
555,0
555,1
555,2
555,5
555,10
555,15
555,20
555,25
555,30
555,40
555,50
580,0
580,1
580,2
580,5
580,10
580,15
580,20
580,25
580,30
580,40
580,50
605,0
605,1
605,2
605,5
605,10
605,15
605,20
605,25
605,30
605,40
605,50
630,0
630,1
630,2
630,5
630,10
630,15
630,20
630,25
630,30
630,40
630,50
655,0
655,1
655,2
655,5
655,10
655,15
655,20
655,25
655,30
655,40
655,50
680,0
680,1
680,2
680,5
680,10
680,15
680,20
680,25
680,30
680,40
680,50
705,0
705,1
705,2
705,5
705,10
705,15
705,20
705,25
705,30
705,40
705,50
730,0
730,1
730,2
730,5
730,10
730,15
730,20
730,25
730,30
730,40
730,50
755,0
755,1
755,2
755,5
755,10
755,15
755,20
755,25
755,30
755,40
755,50
780,0
780,1
780,2
780,5
780,10
780,15
780,20
780,25
780,30
780,40
780,50
805,0
805,1
805,2
805,5
805,10
805,15
805,20
805,25
805,30
805,40
805,50
830,0
830,1
830,2
830,5
830,10
830,15
830,20
830,25
830,30
830,40
830,50
855,0
855,1
855,2
855,5
855,10
855,15
855,20
855,25
855,30
855,40
855,50
880,0
880,1
880,2
880,5
880,10
880,15
880,20
880,25
880,30
880,40
880,50
905,0
905,1
905,2
905,5
905,10
905,15
905,20
905,25
905,30
905,40
905,50
930,0
930,1
930,2
930,5
930,10
930,15
930,20
930,25
930,30
930,40
930,50
955,0
955,1
955,2
955,5
955,10
955,15
955,20
955,25
955,30
955,40
955,50
980,0
980,1
980,2
980,5
980,10
980,15
980,20
980,25
980,30
980,40
980,50
1005,0
1005,1
1005,2
1005,5
1005,10
1005,15
1005,20
1005,25
1005,30
1005,40
1005,50
1030,0
1030,1
1030,2
1030,5
1030,10
1030,15
1030,20
1030,25
1030,30
1030,40
1030,50
1055,0
1055,1
1055,2
1055,5
1055,10
1055,15
1055,20
1055,25
1055,30
1055,40
1055,50
1080,0
1080,1
1080,2
1080,5
1080,10
1080,15
1080,20
1080,25
1080,30
1080,40
1080,50
1105,0
1105,1
1105,2
1105,5
1105,10
1105,15
1105,20
1105,25
1105,30
1105,40
1105,50
1130,0
1130,1
1130,2
1130,5
1130,10
1130,15
1130,20
1130,25
1130,30
1130,40
1130,50
1155,0
1155,1
1155,2
1155,5
1155,10
1155,15
1155,20
1155,25
1155,30
1155,40
1155,50
1180,0
1180,1
1180,2
1180,5
1180,10
1180,15
1180,20
1180,25
1180,30
1180,40
1180,50
1205,0
1205,1
1205,2
1205,5
1205,10
1205,15
1205,20
1205,25
1205,30
1205,40
1205,50
1230,0
1230,1
1230,2
1230,5
1230,10
1230,15
1230,20
1230,25
1230,30
1230,40
1230,50
1255,0
1255,1
1255,2
1255,5
1255,10
1255,15
1255,20
1255,25
1255,30
1255,40
1255,50
1280,0
1280,1
1280,2
1280,5
1280,10
1280,15
1280,20
1280,25
1280,30
1280,40
1280,50
1305,0
1305,1
1305,2
1305,5
1305,10
1305,15
1305,20
1305,25
1305,30
1305,40
1305,50
1330,0
1330,1
1330,2
1330,5
1330,10
1330,15
1330,20
1330,25
1330,30
1330,40
1330,50
1355,0
1355,1
1355,2
1355,5
1355,10
1355,15
1355,20
1355,25
1355,30
1355,40
1355,50
1380,0
1380,1
1380,2
1380,5
1380,10
1380,15
1380,20
1380,25
1380,30
1380,40
1380,50
1405,0
1405,1
1405,2
1405,5
1405,10
1405,15
1405,20
1405,25
1405,30
1405,40
1405,50
1430,0
1430,1
1430,2
1430,5
1430,10
1430,15
1430,20
1430,25
1430,30
1430,40
1430,50
1455,0
1455,1
1455,2
1455,5
1455,10
1455,15
1455,20
1455,25
1455,30
1455,40
1455,50
1480,0
1480,1
1480,2
1480,5
1480,10
1480,15
1480,20
1480,25
1480,30
1480,40
1480,50
