x,y
5.0,-50.0
5.0,-30.0
5.0,-20.0
5.0,-10.0
5.0,-5.0
5.0,-2.0
5.0,0.0
5.0,2.0
5.0,5.0
5.0,10.0
5.0,20.0
5.0,30.0
5.0,50.0
30.0,-50.0
30.0,-30.0
30.0,-20.0
30.0,-10.0
30.0,-5.0
30.0,-2.0
30.0,0.0
30.0,2.0
30.0,5.0
30.0,10.0
30.0,20.0
30.0,30.0
30.0,50.0
55.0,-50.0
55.0,-30.0
55.0,-20.0
55.0,-10.0
55.0,-5.0
55.0,-2.0
55.0,0.0
55.0,2.0
55.0,5.0
55.0,10.0
55.0,20.0
55.0,30.0
55.0,50.0
80.0,-50.0
80.0,-30.0
80.0,-20.0
80.0,-10.0
80.0,-5.0
80.0,-2.0
80.0,0.0
80.0,2.0
80.0,5.0
80.0,10.0
80.0,20.0
80.0,30.0
80.0,50.0
105.0,-50.0
105.0,-30.0
105.0,-20.0
105.0,-10.0
105.0,-5.0
105.0,-2.0
105.0,0.0
105.0,2.0
105.0,5.0
105.0,10.0
105.0,20.0
105.0,30.0
105.0,50.0
130.0,-50.0
130.0,-30.0
130.0,-20.0
130.0,-10.0
130.0,-5.0
130.0,-2.0
130.0,0.0
130.0,2.0
130.0,5.0
130.0,10.0
130.0,20.0
130.0,30.0
130.0,50.0
155.0,-50.0
155.0,-30.0
155.0,-20.0
155.0,-10.0
155.0,-5.0
155.0,-2.0
155.0,0.0
155.0,2.0
155.0,5.0
155.0,10.0
155.0,20.0
155.0,30.0
155.0,50.0
180.0,-50.0
180.0,-30.0
180.0,-20.0
180.0,-10.0
180.0,-5.0
180.0,-2.0
180.0,0.0
180.0,2.0
180.0,5.0
180.0,10.0
180.0,20.0
180.0,30.0
180.0,50.0
205.0,-50.0
205.0,-30.0
205.0,-20.0
205.0,-10.0
205.0,-5.0
205.0,-2.0
205.0,0.0
205.0,2.0
205.0,5.0
205.0,10.0
205.0,20.0
205.0,30.0
205.0,50.0
230.0,-50.0
230.0,-30.0
230.0,-20.0
230.0,-10.0
230.0,-5.0
230.0,-2.0
230.0,0.0
230.0,2.0
230.0,5.0
230.0,10.0
230.0,20.0
230.0,30.0
230.0,50.0
255.0,-50.0
255.0,-30.0
255.0,-20.0
255.0,-10.0
255.0,-5.0
255.0,-2.0
255.0,0.0
255.0,2.0
255.0,5.0
255.0,10.0
255.0,20.0
255.0,30.0
255.0,50.0
280.0,-50.0
280.0,-30.0
280.0,-20.0
280.0,-10.0
280.0,-5.0
280.0,-2.0
280.0,0.0
280.0,2.0
280.0,5.0
280.0,10.0
280.0,20.0
280.0,30.0
280.0,50.0
305.0,-50.0
305.0,-30.0
305.0,-20.0
305.0,-10.0
305.0,-5.0
305.0,-2.0
305.0,0.0
305.0,2.0
305.0,5.0
305.0,10.0
305.0,20.0
305.0,30.0
305.0,50.0
330.0,-50.0
330.0,-30.0
330.0,-20.0
330.0,-10.0
330.0,-5.0
330.0,-2.0
330.0,0.0
330.0,2.0
330.0,5.0
330.0,10.0
330.0,20.0
330.0,30.0
330.0,50.0
355.0,-50.0
355.0,-30.0
355.0,-20.0
355.0,-10.0
355.0,-5.0
355.0,-2.0
355.0,0.0
355.0,2.0
355.0,5.0
355.0,10.0
355.0,20.0
355.0,30.0
355.0,50.0
380.0,-50.0
380.0,-30.0
380.0,-20.0
380.0,-10.0
380.0,-5.0
380.0,-2.0
380.0,0.0
380.0,2.0
380.0,5.0
380.0,10.0
380.0,20.0
380.0,30.0
380.0,50.0
405.0,-50.0
405.0,-30.0
405.0,-20.0
405.0,-10.0
405.0,-5.0
405.0,-2.0
405.0,0.0
405.0,2.0
405.0,5.0
405.0,10.0
405.0,20.0
405.0,30.0
405.0,50.0
430.0,-50.0
430.0,-30.0
430.0,-20.0
430.0,-10.0
430.0,-5.0
430.0,-2.0
430.0,0.0
430.0,2.0
430.0,5.0
430.0,10.0
430.0,20.0
430.0,30.0
430.0,50.0
455.0,-50.0
455.0,-30.0
455.0,-20.0
455.0,-10.0
455.0,-5.0
455.0,-2.0
455.0,0.0
455.0,2.0
455.0,5.0
455.0,10.0
455.0,20.0
455.0,30.0
455.0,50.0
480.0,-50.0
480.0,-30.0
480.0,-20.0
480.0,-10.0
480.0,-5.0
480.0,-2.0
480.0,0.0
480.0,2.0
480.0,5.0
480.0,10.0
480.0,20.0
480.0,30.0
480.0,50.0
505.0,-50.0
505.0,-30.0
505.0,-20.0
505.0,-10.0
505.0,-5.0
505.0,-2.0
505.0,0.0
505.0,2.0
505.0,5.0
505.0,10.0
505.0,20.0
505.0,30.0
505.0,50.0
530.0,-50.0
530.0,-30.0
530.0,-20.0
530.0,-10.0
530.0,-5.0
530.0,-2.0
530.0,0.0
530.0,2.0
530.0,5.0
530.0,10.0
530.0,20.0
530.0,30.0
530.0,50.0
555.0,-50.0
555.0,-30.0
555.0,-20.0
555.0,-10.0
555.0,-5.0
555.0,-2.0
555.0,0.0
555.0,2.0
555.0,5.0
555.0,10.0
555.0,20.0
555.0,30.0
555.0,50.0
580.0,-50.0
580.0,-30.0
580.0,-20.0
580.0,-10.0
580.0,-5.0
580.0,-2.0
580.0,0.0
580.0,2.0
580.0,5.0
580.0,10.0
580.0,20.0
580.0,30.0
580.0,50.0
605.0,-50.0
605.0,-30.0
605.0,-20.0
605.0,-10.0
605.0,-5.0
605.0,-2.0
605.0,0.0
605.0,2.0
605.0,5.0
605.0,10.0
605.0,20.0
605.0,30.0
605.0,50.0
630.0,-50.0
630.0,-30.0
630.0,-20.0
630.0,-10.0
630.0,-5.0
630.0,-2.0
630.0,0.0
630.0,2.0
630.0,5.0
630.0,10.0
630.0,20.0
630.0,30.0
630.0,50.0
655.0,-50.0
655.0,-30.0
655.0,-20.0
655.0,-10.0
655.0,-5.0
655.0,-2.0
655.0,0.0
655.0,2.0
655.0,5.0
655.0,10.0
655.0,20.0
655.0,30.0
655.0,50.0
680.0,-50.0
680.0,-30.0
680.0,-20.0
680.0,-10.0
680.0,-5.0
680.0,-2.0
680.0,0.0
680.0,2.0
680.0,5.0
680.0,10.0
680.0,20.0
680.0,30.0
680.0,50.0
705.0,-50.0
705.0,-30.0
705.0,-20.0
705.0,-10.0
705.0,-5.0
705.0,-2.0
705.0,0.0
705.0,2.0
705.0,5.0
705.0,10.0
705.0,20.0
705.0,30.0
705.0,50.0
730.0,-50.0
730.0,-30.0
730.0,-20.0
730.0,-10.0
730.0,-5.0
730.0,-2.0
730.0,0.0
730.0,2.0
730.0,5.0
730.0,10.0
730.0,20.0
730.0,30.0
730.0,50.0
755.0,-50.0
755.0,-30.0
755.0,-20.0
755.0,-10.0
755.0,-5.0
755.0,-2.0
755.0,0.0
755.0,2.0
755.0,5.0
755.0,10.0
755.0,20.0
755.0,30.0
755.0,50.0
780.0,-50.0
780.0,-30.0
780.0,-20.0
780.0,-10.0
780.0,-5.0
780.0,-2.0
780.0,0.0
780.0,2.0
780.0,5.0
780.0,10.0
780.0,20.0
780.0,30.0
780.0,50.0
805.0,-50.0
805.0,-30.0
805.0,-20.0
805.0,-10.0
805.0,-5.0
805.0,-2.0
805.0,0.0
805.0,2.0
805.0,5.0
805.0,10.0
805.0,20.0
805.0,30.0
805.0,50.0
830.0,-50.0
830.0,-30.0
830.0,-20.0
830.0,-10.0
830.0,-5.0
830.0,-2.0
830.0,0.0
830.0,2.0
830.0,5.0
830.0,10.0
830.0,20.0
830.0,30.0
830.0,50.0
855.0,-50.0
855.0,-30.0
855.0,-20.0
855.0,-10.0
855.0,-5.0
855.0,-2.0
855.0,0.0
855.0,2.0
855.0,5.0
855.0,10.0
855.0,20.0
855.0,30.0
855.0,50.0
880.0,-50.0
880.0,-30.0
880.0,-20.0
880.0,-10.0
880.0,-5.0
880.0,-2.0
880.0,0.0
880.0,2.0
880.0,5.0
880.0,10.0
880.0,20.0
880.0,30.0
880.0,50.0
905.0,-50.0
905.0,-30.0
905.0,-20.0
905.0,-10.0
905.0,-5.0
905.0,-2.0
905.0,0.0
905.0,2.0
905.0,5.0
905.0,10.0
905.0,20.0
905.0,30.0
905.0,50.0
930.0,-50.0
930.0,-30.0
930.0,-20.0
930.0,-10.0
930.0,-5.0
930.0,-2.0
930.0,0.0
930.0,2.0
930.0,5.0
930.0,10.0
930.0,20.0
930.0,30.0
930.0,50.0
955.0,-50.0
955.0,-30.0
955.0,-20.0
955.0,-10.0
955.0,-5.0
955.0,-2.0
955.0,0.0
955.0,2.0
955.0,5.0
955.0,10.0
955.0,20.0
955.0,30.0
955.0,50.0
980.0,-50.0
980.0,-30.0
980.0,-20.0
980.0,-10.0
980.0,-5.0
980.0,-2.0
980.0,0.0
980.0,2.0
980.0,5.0
980.0,10.0
980.0,20.0
980.0,30.0
980.0,50.0
1005.0,-50.0
1005.0,-30.0
1005.0,-20.0
1005.0,-10.0
1005.0,-5.0
1005.0,-2.0
1005.0,0.0
1005.0,2.0
1005.0,5.0
1005.0,10.0
1005.0,20.0
1005.0,30.0
1005.0,50.0
1030.0,-50.0
1030.0,-30.0
1030.0,-20.0
1030.0,-10.0
1030.0,-5.0
1030.0,-2.0
1030.0,0.0
1030.0,2.0
1030.0,5.0
1030.0,10.0
1030.0,20.0
1030.0,30.0
1030.0,50.0
1055.0,-50.0
1055.0,-30.0
1055.0,-20.0
1055.0,-10.0
1055.0,-5.0
1055.0,-2.0
1055.0,0.0
1055.0,2.0
1055.0,5.0
1055.0,10.0
1055.0,20.0
1055.0,30.0
1055.0,50.0
1080.0,-50.0
1080.0,-30.0
1080.0,-20.0
1080.0,-10.0
1080.0,-5.0
1080.0,-2.0
1080.0,0.0
1080.0,2.0
1080.0,5.0
1080.0,10.0
1080.0,20.0
1080.0,30.0
1080.0,50.0
1105.0,-50.0
1105.0,-30.0
1105.0,-20.0
1105.0,-10.0
1105.0,-5.0
1105.0,-2.0
1105.0,0.0
1105.0,2.0
1105.0,5.0
1105.0,10.0
1105.0,20.0
1105.0,30.0
1105.0,50.0
1130.0,-50.0
1130.0,-30.0
1130.0,-20.0
1130.0,-10.0
1130.0,-5.0
1130.0,-2.0
1130.0,0.0
1130.0,2.0
1130.0,5.0
1130.0,10.0
1130.0,20.0
1130.0,30.0
1130.0,50.0
1155.0,-50.0
1155.0,-30.0
1155.0,-20.0
1155.0,-10.0
1155.0,-5.0
1155.0,-2.0
1155.0,0.0
1155.0,2.0
1155.0,5.0
1155.0,10.0
1155.0,20.0
1155.0,30.0
1155.0,50.0
1180.0,-50.0
1180.0,-30.0
1180.0,-20.0
1180.0,-10.0
1180.0,-5.0
1180.0,-2.0
1180.0,0.0
1180.0,2.0
1180.0,5.0
1180.0,10.0
1180.0,20.0
1180.0,30.0
1180.0,50.0
1205.0,-50.0
1205.0,-30.0
1205.0,-20.0
1205.0,-10.0
1205.0,-5.0
1205.0,-2.0
1205.0,0.0
1205.0,2.0
1205.0,5.0
1205.0,10.0
1205.0,20.0
1205.0,30.0
1205.0,50.0
1230.0,-50.0
1230.0,-30.0
1230.0,-20.0
1230.0,-10.0
1230.0,-5.0
1230.0,-2.0
1230.0,0.0
1230.0,2.0
1230.0,5.0
1230.0,10.0
1230.0,20.0
1230.0,30.0
1230.0,50.0
1255.0,-50.0
1255.0,-30.0
1255.0,-20.0
1255.0,-10.0
1255.0,-5.0
1255.0,-2.0
1255.0,0.0
1255.0,2.0
1255.0,5.0
1255.0,10.0
1255.0,20.0
1255.0,30.0
1255.0,50.0
1280.0,-50.0
1280.0,-30.0
1280.0,-20.0
1280.0,-10.0
1280.0,-5.0
1280.0,-2.0
1280.0,0.0
1280.0,2.0
1280.0,5.0
1280.0,10.0
1280.0,20.0
1280.0,30.0
1280.0,50.0
1305.0,-50.0
1305.0,-30.0
1305.0,-20.0
1305.0,-10.0
1305.0,-5.0
