w,x_global,y_global,J,P_finish,P_onsite,F,probability_residual,distance_K1
0,1792.5034106813,4.4086956307865e-13,0.0,1.00000000000089,1.00000000000089,0.0,8.88622508909975e-13,0.0
0.05,1792.5034106813,4.4086956307865e-13,0.0,1.00000000000089,1.00000000000089,0.0,8.88622508909975e-13,0.0
0.1,1792.5034106813,4.4086956307865e-13,0.0,1.00000000000089,1.00000000000089,0.0,8.88622508909975e-13,0.0
0.2,1792.5034106813,4.4086956307865e-13,0.0,1.00000000000089,1.00000000000089,0.0,8.88622508909975e-13,0.0
0.35,1792.5034106813,4.4086956307865e-13,0.0,1.00000000000089,1.00000000000089,0.0,8.88622508909975e-13,0.0
0.5,1792.5034106813,4.4086956307865e-13,0.0,1.00000000000089,1.00000000000089,0.0,8.88622508909975e-13,0.0
0.65,1792.5034106813,4.4086956307865e-13,0.0,1.00000000000089,1.00000000000089,0.0,8.88622508909975e-13,0.0
0.8,1792.5034106813,4.4086956307865e-13,0.0,1.00000000000089,1.00000000000089,0.0,8.88622508909975e-13,0.0
0.9,1792.5034106813,4.4086956307865e-13,0.0,1.00000000000089,1.00000000000089,0.0,8.88622508909975e-13,0.0
0.95,1792.5034106813,4.4086956307865e-13,0.0,1.00000000000089,1.00000000000089,0.0,8.88622508909975e-13,0.0
1,1792.5034106813,4.4086956307865e-13,0.0,1.00000000000089,1.00000000000089,0.0,8.88622508909975e-13,0.0
