w,x_global,y_global,J,P_finish,P_onsite,F,probability_residual,distance_K1
0,906.61940693127,572.792222899373,25.075721932282,0.266211850594134,0.0,1.2537860966141001,-1.49436019114546e-13,556.88229349575
0.05,895.786469470461,562.29002494931,25.0862294463774,0.287677304755808,0.0,1.227212033465136,-6.23945339839338e-14,546.570755908779
0.1,885.869215864265,554.025922660584,25.1124513325215,0.304022582091715,0.0,1.1996580517542959,2.17603712826531e-14,538.480992223538
0.2,867.443056398354,541.793287188394,25.1970352314579,0.328364013031888,0.0,1.1422086066519384,-3.47499806707674e-14,526.571800665057
0.35,840.921239985028,529.583659829511,25.3912445756733,0.35419697032876,0.0,1.0512465090943164,1.55431223447522e-14,514.82690241106
0.5,813.824371479152,521.018510869701,25.6746025616283,0.373364048581302,0.0,0.9551830397500565,5.30686605770825e-14,506.735963527265
0.65,785.070084106417,513.089848289038,26.0760243822584,0.388135209679873,0.0,0.8540425403976046,-2.6256774532385e-13,499.31034003036
0.8,754.029054966445,502.358537975245,26.6505996163508,0.398915466793782,0.0,0.7473736227284824,1.06581410364015e-14,489.122404803888
0.9,731.423130778445,490.731442402798,27.1956181040777,0.403657784398248,0.0,0.6726860845619652,-5.32907051820075e-15,477.891607871233
0.95,719.103049974651,482.248273896758,27.5563608098308,0.405105218188298,0.0,0.634040944745694,1.50990331349021e-14,469.624746450374
1,705.537443819203,470.667965920054,28.0245163683768,0.405679556046621,0.0,0.5943204440935016,1.48769885299771e-14,458.282954682858
