x,y
802,400
808,400
814,400
820,400
826,400
832,400
838,400
844,400
850,400
856,400
862,400
868,400
874,400
880,400
886,400
892,400
898,400
904,400
910,400
916,400
922,400
928,400
934,400
940,400
946,400
952,400
958,400
964,400
970,400
976,400
982,400
988,400
994,400
1000,400
1006,400
1012,400
1018,400
1024,400
1030,400
1036,400
800,402
806,402
812,402
818,402
824,402
830,402
836,402
842,402
848,402
854,402
860,402
866,402
872,402
878,402
884,402
890,402
896,402
902,402
908,402
914,402
920,402
926,402
932,402
938,402
944,402
950,402
956,402
962,402
968,402
974,402
980,402
986,402
992,402
998,402
1004,402
1010,402
1016,402
1022,402
1028,402
1034,402
1040,402
804,404
810,404
816,404
822,404
828,404
834,404
840,404
846,404
852,404
858,404
864,404
870,404
876,404
882,404
888,404
894,404
900,404
906,404
912,404
918,404
924,404
930,404
936,404
942,404
948,404
954,404
960,404
966,404
972,404
978,404
984,404
990,404
996,404
1002,404
1008,404
1014,404
1020,404
1026,404
1032,404
1038,404
802,406
808,406
814,406
820,406
826,406
832,406
838,406
844,406
850,406
856,406
862,406
868,406
874,406
880,406
886,406
892,406
898,406
904,406
910,406
916,406
922,406
928,406
934,406
940,406
946,406
952,406
958,406
964,406
970,406
976,406
982,406
988,406
994,406
1000,406
1006,406
1012,406
1018,406
1024,406
1030,406
1036,406
800,408
806,408
812,408
818,408
824,408
830,408
836,408
842,408
848,408
854,408
860,408
866,408
872,408
878,408
884,408
890,408
896,408
902,408
908,408
914,408
920,408
926,408
932,408
938,408
944,408
950,408
956,408
962,408
968,408
974,408
980,408
986,408
992,408
998,408
1004,408
1010,408
1016,408
1022,408
1028,408
1034,408
1040,408
804,410
810,410
816,410
822,410
828,410
834,410
840,410
846,410
852,410
858,410
864,410
870,410
876,410
882,410
888,410
894,410
900,410
906,410
912,410
918,410
924,410
930,410
936,410
942,410
948,410
954,410
960,410
966,410
972,410
978,410
984,410
990,410
996,410
1002,410
1008,410
1014,410
1020,410
1026,410
1032,410
1038,410
802,412
808,412
814,412
820,412
826,412
832,412
838,412
844,412
850,412
856,412
862,412
868,412
874,412
880,412
886,412
892,412
898,412
904,412
910,412
916,412
922,412
928,412
934,412
940,412
946,412
952,412
958,412
964,412
970,412
976,412
982,412
988,412
994,412
1000,412
1006,412
1012,412
1018,412
1024,412
1030,412
1036,412
800,414
806,414
812,414
818,414
824,414
830,414
836,414
842,414
848,414
854,414
860,414
866,414
872,414
878,414
884,414
890,414
896,414
902,414
908,414
914,414
920,414
926,414
932,414
938,414
944,414
950,414
956,414
962,414
968,414
974,414
980,414
986,414
992,414
998,414
1004,414
1010,414
1016,414
1022,414
1028,414
1034,414
1040,414
804,416
810,416
816,416
822,416
828,416
834,416
840,416
846,416
852,416
858,416
864,416
870,416
876,416
882,416
888,416
894,416
900,416
906,416
912,416
918,416
924,416
930,416
936,416
942,416
948,416
954,416
960,416
966,416
972,416
978,416
984,416
990,416
996,416
1002,416
1008,416
1014,416
1020,416
1026,416
1032,416
1038,416
802,418
808,418
814,418
820,418
826,418
832,418
838,418
844,418
850,418
856,418
862,418
868,418
874,418
880,418
886,418
892,418
898,418
904,418
910,418
916,418
922,418
928,418
934,418
940,418
946,418
952,418
958,418
964,418
970,418
976,418
982,418
988,418
994,418
1000,418
1006,418
1012,418
1018,418
1024,418
1030,418
1036,418
800,420
806,420
812,420
818,420
824,420
830,420
836,420
842,420
848,420
854,420
860,420
866,420
872,420
878,420
884,420
890,420
896,420
902,420
908,420
914,420
920,420
926,420
932,420
938,420
944,420
950,420
956,420
962,420
968,420
974,420
980,420
986,420
992,420
998,420
1004,420
1010,420
1016,420
1022,420
1028,420
1034,420
1040,420
804,422
810,422
816,422
822,422
828,422
834,422
840,422
846,422
852,422
858,422
864,422
870,422
876,422
882,422
888,422
894,422
900,422
906,422
912,422
918,422
924,422
930,422
936,422
942,422
948,422
954,422
960,422
966,422
972,422
978,422
984,422
990,422
996,422
1002,422
1008,422
1014,422
1020,422
1026,422
1032,422
1038,422
802,424
808,424
814,424
820,424
826,424
832,424
838,424
844,424
850,424
856,424
862,424
868,424
874,424
880,424
886,424
892,424
898,424
904,424
910,424
916,424
922,424
928,424
934,424
940,424
946,424
952,424
958,424
964,424
970,424
976,424
982,424
988,424
994,424
1000,424
1006,424
1012,424
1018,424
1024,424
1030,424
1036,424
800,426
806,426
812,426
818,426
824,426
830,426
836,426
842,426
848,426
854,426
860,426
866,426
872,426
878,426
884,426
890,426
896,426
902,426
908,426
914,426
920,426
926,426
932,426
938,426
944,426
950,426
956,426
962,426
968,426
974,426
980,426
986,426
992,426
998,426
1004,426
1010,426
1016,426
1022,426
1028,426
1034,426
1040,426
804,428
810,428
816,428
822,428
828,428
834,428
840,428
846,428
852,428
858,428
864,428
870,428
876,428
882,428
888,428
894,428
900,428
906,428
912,428
918,428
924,428
930,428
936,428
942,428
948,428
954,428
960,428
966,428
972,428
978,428
984,428
990,428
996,428
1002,428
1008,428
1014,428
1020,428
1026,428
1032,428
1038,428
802,430
808,430
814,430
820,430
826,430
832,430
838,430
844,430
850,430
856,430
862,430
868,430
874,430
880,430
886,430
892,430
898,430
904,430
910,430
916,430
922,430
928,430
934,430
940,430
946,430
952,430
958,430
964,430
970,430
976,430
982,430
988,430
994,430
1000,430
1006,430
1012,430
1018,430
1024,430
1030,430
1036,430
800,432
806,432
812,432
818,432
824,432
830,432
836,432
842,432
848,432
854,432
860,432
866,432
872,432
878,432
884,432
890,432
896,432
902,432
908,432
914,432
920,432
926,432
932,432
938,432
944,432
950,432
956,432
962,432
968,432
974,432
980,432
986,432
992,432
998,432
1004,432
1010,432
1016,432
1022,432
1028,432
1034,432
1040,432
804,434
810,434
816,434
822,434
828,434
834,434
840,434
846,434
852,434
858,434
864,434
870,434
876,434
882,434
888,434
894,434
900,434
906,434
912,434
918,434
924,434
930,434
936,434
942,434
948,434
954,434
960,434
966,434
972,434
978,434
984,434
990,434
996,434
1002,434
1008,434
1014,434
1020,434
1026,434
1032,434
1038,434
802,436
808,436
814,436
820,436
826,436
832,436
838,436
844,436
850,436
856,436
862,436
868,436
874,436
880,436
886,436
892,436
898,436
904,436
910,436
916,436
922,436
928,436
934,436
940,436
946,436
952,436
958,436
964,436
970,436
976,436
982,436
988,436
994,436
1000,436
1006,436
1012,436
1018,436
1024,436
1030,436
1036,436
800,438
806,438
812,438
818,438
824,438
830,438
836,438
842,438
848,438
854,438
860,438
866,438
872,438
878,438
884,438
890,438
896,438
902,438
908,438
914,438
920,438
926,438
932,438
938,438
944,438
950,438
956,438
962,438
968,438
974,438
980,438
986,438
992,438
998,438
1004,438
1010,438
1016,438
1022,438
1028,438
1034,438
1040,438
804,440
810,440
816,440
822,440
828,440
834,440
840,440
846,440
852,440
858,440
864,440
870,440
876,440
882,440
888,440
894,440
900,440
906,440
912,440
918,440
924,440
930,440
936,440
942,440
948,440
954,440
960,440
966,440
972,440
978,440
984,440
990,440
996,440
1002,440
1008,440
1014,440
1020,440
1026,440
1032,440
1038,440
802,442
808,442
814,442
820,442
826,442
832,442
838,442
844,442
850,442
856,442
862,442
868,442
874,442
880,442
886,442
892,442
898,442
904,442
910,442
916,442
922,442
928,442
934,442
940,442
946,442
952,442
958,442
964,442
970,442
976,442
982,442
988,442
994,442
1000,442
1006,442
1012,442
1018,442
1024,442
1030,442
1036,442
800,444
806,444
812,444
818,444
824,444
830,444
836,444
842,444
848,444
854,444
860,444
866,444
872,444
878,444
884,444
890,444
896,444
902,444
908,444
914,444
920,444
926,444
932,444
938,444
944,444
950,444
956,444
962,444
968,444
974,444
980,444
986,444
992,444
998,444
1004,444
1010,444
1016,444
1022,444
1028,444
1034,444
1040,444
804,446
810,446
816,446
822,446
828,446
834,446
840,446
846,446
852,446
858,446
864,446
870,446
876,446
882,446
888,446
894,446
900,446
906,446
912,446
918,446
924,446
930,446
936,446
942,446
948,446
954,446
960,446
966,446
972,446
978,446
984,446
990,446
996,446
1002,446
1008,446
1014,446
1020,446
1026,446
1032,446
1038,446
802,448
808,448
814,448
820,448
826,448
832,448
838,448
844,448
850,448
856,448
862,448
868,448
874,448
880,448
886,448
892,448
898,448
904,448
910,448
916,448
922,448
928,448
934,448
940,448
946,448
952,448
958,448
964,448
970,448
976,448
982,448
988,448
994,448
1000,448
1006,448
1012,448
1018,448
1024,448
1030,448
1036,448
800,450
806,450
812,450
818,450
824,450
830,450
836,450
842,450
848,450
854,450
860,450
866,450
872,450
878,450
884,450
890,450
896,450
902,450
908,450
914,450
920,450
926,450
932,450
938,450
944,450
950,450
956,450
962,450
968,450
974,450
980,450
986,450
992,450
998,450
1004,450
1010,450
1016,450
1022,450
1028,450
1034,450
1040,450
804,452
810,452
816,452
822,452
828,452
834,452
840,452
846,452
852,452
858,452
864,452
870,452
876,452
882,452
888,452
894,452
900,452
906,452
912,452
918,452
924,452
930,452
936,452
942,452
948,452
954,452
960,452
966,452
972,452
978,452
984,452
990,452
996,452
1002,452
1008,452
1014,452
1020,452
1026,452
1032,452
1038,452
802,454
808,454
814,454
820,454
826,454
832,454
838,454
844,454
850,454
856,454
862,454
868,454
874,454
880,454
886,454
892,454
898,454
904,454
910,454
916,454
922,454
928,454
934,454
940,454
946,454
952,454
958,454
964,454
970,454
976,454
982,454
988,454
994,454
1000,454
1006,454
1012,454
1018,454
1024,454
1030,454
1036,454
800,456
806,456
812,456
818,456
824,456
830,456
836,456
842,456
848,456
854,456
860,456
866,456
872,456
878,456
884,456
890,456
896,456
902,456
908,456
914,456
920,456
926,456
932,456
938,456
944,456
950,456
956,456
962,456
968,456
974,456
980,456
986,456
992,456
998,456
1004,456
1010,456
1016,456
1022,456
1028,456
1034,456
1040,456
804,458
810,458
816,458
822,458
828,458
834,458
840,458
846,458
852,458
858,458
864,458
870,458
876,458
882,458
888,458
894,458
900,458
906,458
912,458
918,458
924,458
930,458
936,458
942,458
948,458
954,458
960,458
966,458
972,458
978,458
984,458
990,458
996,458
1002,458
1008,458
1014,458
1020,458
1026,458
1032,458
1038,458
802,460
808,460
814,460
820,460
826,460
832,460
838,460
844,460
850,460
856,460
862,460
868,460
874,460
880,460
886,460
892,460
898,460
904,460
910,460
916,460
922,460
928,460
934,460
940,460
946,460
952,460
958,460
964,460
970,460
976,460
982,460
988,460
994,460
1000,460
1006,460
1012,460
1018,460
1024,460
1030,460
1036,460
800,462
806,462
812,462
818,462
824,462
830,462
836,462
842,462
848,462
854,462
860,462
866,462
872,462
878,462
884,462
890,462
896,462
902,462
908,462
914,462
920,462
926,462
932,462
938,462
944,462
950,462
956,462
962,462
968,462
974,462
980,462
986,462
992,462
998,462
1004,462
1010,462
1016,462
1022,462
1028,462
1034,462
1040,462
804,464
810,464
816,464
822,464
828,464
834,464
840,464
846,464
852,464
858,464
864,464
870,464
876,464
882,464
888,464
894,464
900,464
906,464
912,464
918,464
924,464
930,464
936,464
942,464
948,464
954,464
960,464
966,464
972,464
978,464
984,464
990,464
996,464
1002,464
1008,464
1014,464
1020,464
1026,464
1032,464
1038,464
802,466
808,466
814,466
820,466
826,466
832,466
838,466
844,466
850,466
856,466
862,466
868,466
874,466
880,466
886,466
892,466
898,466
904,466
910,466
916,466
922,466
928,466
934,466
940,466
946,466
952,466
958,466
964,466
970,466
976,466
982,466
988,466
994,466
1000,466
1006,466
1012,466
1018,466
1024,466
1030,466
1036,466
800,468
806,468
812,468
818,468
824,468
830,468
836,468
842,468
848,468
854,468
860,468
866,468
872,468
878,468
884,468
890,468
896,468
902,468
908,468
914,468
920,468
926,468
932,468
938,468
944,468
950,468
956,468
962,468
968,468
974,468
980,468
986,468
992,468
998,468
1004,468
1010,468
1016,468
1022,468
1028,468
1034,468
1040,468
804,470
810,470
816,470
822,470
828,470
834,470
840,470
846,470
852,470
858,470
864,470
870,470
876,470
882,470
888,470
894,470
900,470
906,470
912,470
918,470
924,470
930,470
936,470
942,470
948,470
954,470
960,470
966,470
972,470
978,470
984,470
990,470
996,470
1002,470
1008,470
1014,470
1020,470
1026,470
1032,470
1038,470
802,472
808,472
814,472
820,472
826,472
832,472
838,472
844,472
850,472
856,472
862,472
868,472
874,472
880,472
886,472
892,472
898,472
904,472
910,472
916,472
922,472
928,472
934,472
940,472
946,472
952,472
958,472
964,472
970,472
976,472
982,472
988,472
994,472
1000,472
1006,472
1012,472
1018,472
1024,472
1030,472
1036,472
800,474
806,474
812,474
818,474
824,474
830,474
836,474
842,474
848,474
854,474
860,474
866,474
872,474
878,474
884,474
890,474
896,474
902,474
908,474
914,474
920,474
926,474
932,474
938,474
944,474
950,474
956,474
962,474
968,474
974,474
980,474
986,474
992,474
998,474
1004,474
1010,474
1016,474
1022,474
1028,474
1034,474
1040,474
804,476
810,476
816,476
822,476
828,476
834,476
840,476
846,476
852,476
858,476
864,476
870,476
876,476
882,476
888,476
894,476
900,476
906,476
912,476
918,476
924,476
930,476
936,476
942,476
948,476
954,476
960,476
966,476
972,476
978,476
984,476
990,476
996,476
1002,476
1008,476
1014,476
1020,476
1026,476
1032,476
1038,476
802,478
808,478
814,478
820,478
826,478
832,478
838,478
844,478
850,478
856,478
862,478
868,478
874,478
880,478
886,478
892,478
898,478
904,478
910,478
916,478
922,478
928,478
934,478
940,478
946,478
952,478
958,478
964,478
970,478
976,478
982,478
988,478
994,478
1000,478
1006,478
1012,478
1018,478
1024,478
1030,478
1036,478
800,480
806,480
812,480
818,480
824,480
830,480
836,480
842,480
848,480
854,480
860,480
866,480
872,480
878,480
884,480
890,480
896,480
902,480
908,480
914,480
920,480
926,480
932,480
938,480
944,480
950,480
956,480
962,480
968,480
974,480
980,480
986,480
992,480
998,480
1004,480
1010,480
1016,480
1022,480
1028,480
1034,480
1040,480
804,482
810,482
816,482
822,482
828,482
834,482
840,482
846,482
852,482
858,482
864,482
870,482
876,482
882,482
888,482
894,482
900,482
906,482
912,482
918,482
924,482
930,482
936,482
942,482
948,482
954,482
960,482
966,482
972,482
978,482
984,482
990,482
996,482
1002,482
1008,482
1014,482
1020,482
1026,482
1032,482
1038,482
802,484
808,484
814,484
820,484
826,484
832,484
838,484
844,484
850,484
856,484
862,484
868,484
874,484
880,484
886,484
892,484
898,484
904,484
910,484
916,484
922,484
928,484
934,484
940,484
946,484
952,484
958,484
964,484
970,484
976,484
982,484
988,484
994,484
1000,484
1006,484
1012,484
1018,484
1024,484
1030,484
1036,484
800,486
806,486
812,486
818,486
824,486
830,486
836,486
842,486
848,486
854,486
860,486
866,486
872,486
878,486
884,486
890,486
896,486
902,486
908,486
914,486
920,486
926,486
932,486
938,486
944,486
950,486
956,486
962,486
968,486
974,486
980,486
986,486
992,486
998,486
1004,486
1010,486
1016,486
1022,486
1028,486
1034,486
1040,486
804,488
810,488
816,488
822,488
828,488
834,488
840,488
846,488
852,488
858,488
864,488
870,488
876,488
882,488
888,488
894,488
900,488
906,488
912,488
918,488
924,488
930,488
936,488
942,488
948,488
954,488
960,488
966,488
972,488
978,488
984,488
990,488
996,488
1002,488
1008,488
1014,488
1020,488
1026,488
